,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
Aguascalientes,"frío, norte, zona, racha, temperatura, ambiente, lluvia, viento, sonoro, grado, tamaulipa, coahuilo, nublado, helada, fuerte","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, llamado, lugar","electoral, partido, instituto, deber, pesos, mujer, salud, político, proceso, municipio, estatal, trabajo, morena, elección, servicio","seguridad, policía, municipal, investigación, recibir, federal, ags, encontrar, lugar, vehículo, edad, estatal, elemento, hospital, autoridad","federal, mayo, color, semáforo, salud, secretaría, amarillo, secretaría salud, número, riesgo, naranja, verde, febrero, seguridad, secretario","equipo, investigador, descubrir, contagio, construcción, cerca, isla, metro, altura, época, imponente, japón, egipcio, investigador descubrir, metro altura"
Baja California,"banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, llamado, publicar, lugar","frío, viento, temperatura, norte, zona, lluvia, racha, ambiente, mínimo, cielo, sonoro, grado, nublado, golfo, helada","periodista, asesinato, enero, maldonado, lourdes, tijuana, lourdes maldonado, crimen, asesinar, registrar, salud, secretaría, protección, homicidio, activo","efectivo, remesa, estrategia, impulsar, descubrir, nuclear, liderazgo, josé, internacional, local, deportivo, trump, evento, hijo, definir","pesos, precio, educación, clase, febrero, proceso, instituto, secretaría, salud, electoral, médico, cultura, centro, presencial, ciudadano","unidos, cabo, paz, autoridad, recibir, encontrar, federal, estatal, deber, febrero, señalar, importante, social, presentar, mujer"
Baja California Sur,"frío, viento, temperatura, racha, norte, lluvia, zona, ambiente, cielo, nublado, mínimo, sonoro, grado, tamaulipa, helada","registrar, enero, tasa, pesos, precio, presentar, partido, alto, habitante, homicidio, activo, asesinato, aumento, trabajo, violencia","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, llamado, lugar","cabo, paz, vehículo, investigación, bcs, unidad, efectivo, josé, proceso, delito, seguridad, programa, deber, pesos, empresa","gobernador, federal, febrero, enero, secretaría, número, unidos, paz, informar, salud, red, empresa, obrador, hora, encontrar","paz, salud, cabo, periodista, municipio, nivel, estatal, enero, registrar, febrero, actividad, secretaría, activo, servicio, bcs"
Campeche,"salud, semáforo, contagio, secretaría, color, secretaría salud, febrero, activo, amarillo, verde, riesgo, naranja, registrar, epidemiológico, número","frío, racha, lluvia, norte, zona, viento, ambiente, temperatura, sonoro, nublado, tamaulipa, golfo, coahuilo, grado, alto","descubrir, investigador, metro, metro altura, altura, cerca, equipo, construcción, época, isla, pirámide, japón, datar, japón imponente pirámide, japón imponente","periodista, hijo, empresa, obrador, josé, baker, loret, contrato, adams, josé ramón, pemex, beltrán, ramón, andrés, federal","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, llamado, lugar","federal, gobernador, pesos, obrador, deber, político, partido, secretaría, social, proceso, señalar, trabajo, seguridad, acción, instituto"
Chiapas,"alto, paso, región, proteger, cártel, hijo, sombra, máximo, presunto, remesa, mercado, gestión, calibre, nuclear, operar","frío, norte, racha, zona, temperatura, lluvia, viento, ambiente, sonoro, grado, tamaulipa, coahuilo, fuerte, golfo, costa","periodista, migrant, enero, autoridad, federal, mujer, protección, encontrar, humanos, derechos humanos, derechos, menor, secretaría, seguridad, pedir","pesos, trabajo, social, obrador, desarrollo, federal, municipio, proyecto, secretaría, obra, programa, salud, manuel, recurso, gobernador","elección, tuxtla, salud, electoral, riesgo, servicio, ine, ubicar, contagio, secretaría, población, programa, junio, pantelhó, semáforo","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, lugar, llamado"
Chihuahua,"banda, álbum, metal, paul, rock, tocar, grabar, canción, música, escuchar, disco, concierto, publicar, grupo, llamado","banda, metal, paul, álbum, música, rock, disco, escuchar, tocar, canción, grabar, llamado, concierto, grabación, grupo","banda, metal, música, álbum, tocar, grabar, paul, rock, escuchar, publicar, concierto, canción, disco, llamado, noche","banda, metal, música, rock, paul, álbum, escuchar, tocar, concierto, grabar, publicar, disco, canción, llamado, dejar","comunidad, oncológico, indígena, silvestre, vida silvestre, incendio, forestal, incendio forestal, agua, centro oncológico, medichihuahua, paciente, enfrentar, ocurrir, domicilio","periodista, estatal, norte, mujer, zona, violencia, frío, vehículo, enero, registrar, seguridad, deber, municipio, temperatura, pesos"
Coahuila,"saltillo, salud, secretaría, enero, contagio, registrar, pesos, encontrar, deporte, señalar, vehículo, reportar, febrero, municipio, laguna","maestro, mayo, vida, agua, reconocer, educación, buscar, calor, magisterio, gómez, gómez palacio, omar, palacio, comenzar, transformar","frío, temperatura, norte, zona, lluvia, racha, viento, ambiente, grado, sonoro, mínimo, fuerte, región, tamaulipa, helada","salud, municipio, región, color, secretaría, semáforo, naranja, periodista, amarillo, secretaría salud, febrero, verde, tamaulipa, informar, federal","mujer, pesos, deber, seguridad, tema, violencia, torreón, municipio, fiscalía, delito, presentar, encontrar, enero, social, derecho","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, lugar, llamado"
Colima,"colonia, paso, presunto, alto, operar, hombre, calibre, sísmico, aprender, cártel, gestión, calle, investigación, corazón, noche","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, lugar, llamado","ambiente, racha, frío, lluvia, viento, zona, norte, temperatura, nublado, sonoro, cielo, golfo, tamaulipa, grado, caluroso","seguridad, federal, social, febrero, obrador, violencia, estatal, grupo, lugar, deber, municipio, encontrar, señalar, ucrania, informar","salud, secretaría, registrar, villa, álvarez, villa álvarez, secretaría salud, atención, hombre, grave, edad, recibir, informar, manzanillo, positivo","universidad, estudiante, rector, universitario, educación, trabajo, desarrollo, congreso, institución, udec, estudio, grupo, facultad, diputada, ortiz"
Durango,"frío, norte, temperatura, zona, racha, viento, lluvia, ambiente, sonoro, coahuilo, grado, fuerte, región, nublado, nieve","agua, obra, municipal, servicio, pesos, enero, trabajo, municipio, lugar, salud, reforma, eléctrico, febrero, familia, recibir","mayo, calor, maestro, vida, tip, tip tip, seguridad, tip tip tip, dejar, buscar, reconocer, ola, ola calor, omar, especial","paso, electoral, pesos, alto, actividad, cabo, mercado, remesa, recibir, itd, prenacional, programa, elección, derecho, junio","seguridad, partido, palacio, gobernador, unidad, morena, federal, estatal, vehículo, gómez, hombre, gómez palacio, joven, político, municipio","banda, metal, álbum, paul, rock, música, llamado, decidir, tocar, calor, escuchar, grabar, grupo, disco, francisco"
Guanajuato,"irapuato, mayo, principal, espacio, local, diputado, materia, diputado local, trámite, tránsito, credencial, medieval, personal, dato, noticia","trabajador, hombre, seguridad, trabajo, municipal, sindicato, salamanca, dejar, mujer, autoridad, encontrar, señalar, policía, vida, cuerpo","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, llamado, publicar, lugar","investigador, descubrir, cerca, equipo, japón, época, construcción, altura, metro, datar, investigador descubrir, imponente, metro altura, isla, descubrir cerca","frío, zona, enero, salud, norte, temperatura, registrar, ambiente, racha, presentar, mujer, viento, celaya, sonoro, lluvia","seguridad, municipio, municipal, proyecto, pesos, gobernador, tema, alcalde, empresa, víctima, social, señalar, delito, estatal, agua"
