state,educational_lag_actual,educational_lag_predicted,health_actual,health_predicted,social_security_actual,social_security_predicted,income_actual,income_predicted,food_actual,food_predicted,housing_actual,housing_predicted,social_cohesion_predicted
Aguascalientes,16.5,12.785821506630857,26.2,32.53973233452761,34.7,40.633263000855706,33.0,41.04913762674945,15.6,18.67943940975003,3.6,15.037961148085166,6.947005832900794
Baja California,15.5,17.279983875232222,28.4,30.57958788691214,34.7,40.99538166250829,18.8,38.90100399306354,10.0,19.907095617058687,5.1,10.233199142017298,8.97629784500613
Baja California Sur,14.2,24.273602794303425,17.3,37.8007477115578,29.9,58.79106518316454,17.9,52.25451171397003,14.5,21.663040643866665,9.25,11.399586290694508,6.115283379246768
Campeche,20.3,23.351292312107226,34.6,37.88708716667589,54.7,59.019721108129055,51.0,53.85969695433932,22.0,18.11718765939059,24.9,13.99058672633739,6.981687320016444
Coahuila,13.5,12.945346968532517,19.7,31.73465799409023,24.4,40.52312586798139,28.8,40.76778716060103,13.2,20.332932000791786,3.4,13.061093869035208,7.8571791889967075
Colima,15.6,17.027223795712672,21.9,26.730910422719386,35.9,43.09546036645892,27.3,51.82303352545668,14.0,18.119217834874675,4.75,12.793362401883211,7.498321144251526
Chiapas,31.1,23.97551524842453,66.1,36.93687148541457,77.9,58.4281872128706,70.0,50.77128587169491,20.9,18.216905543989796,36.45,16.55796408935834,10.799364334123215
Chihuahua,16.1,20.05909972778586,21.5,33.212344550530176,32.4,30.52606558783204,25.5,46.19152869965044,9.7,16.4184053749249,5.0,16.73551628897755,7.505370682020301
Ciudad de México,9.7,9.780134254489287,28.7,20.06466750574986,39.3,42.23894143550167,32.2,37.532996974425615,11.4,18.39050806717618,3.7,14.092452563022238,7.968525844956273
Durango,17.9,21.636839367467882,30.2,36.149694468057184,46.2,51.29760094141542,43.5,39.27013310439284,20.3,20.897031235316813,9.0,12.400541048761408,6.661053762515401
Guanajuato,22.8,18.353167934895197,33.2,32.89927849912122,50.2,41.31153609393989,41.4,46.92888199366221,18.3,18.642983636851806,7.800000000000001,12.551177074347283,7.742078304275506
Guerrero,28.8,21.055606748003157,52.7,39.36340729276189,71.6,42.527290021381596,63.7,51.368795669449064,31.5,20.634240569559072,40.4,14.741301376883298,6.66491234196401
Hidalgo,20.0,17.600866147335093,50.4,38.04312265307004,65.4,56.336024603916016,46.1,49.597346589012425,19.1,27.42569753089244,15.45,16.399551062990884,6.489489262555005
Jalisco,20.4,16.697538214624117,37.1,28.868542466927497,42.0,44.99970263484056,29.2,38.844717214534924,13.8,20.915246519317662,4.75,17.415225356191808,9.076977211444033
Estado de México,16.3,16.15232438187905,44.2,36.48780512512732,52.1,44.361277315979635,52.9,45.012261977278236,20.3,17.691218168950243,8.05,11.897399793792795,7.583167621975067
Michoacán,28.9,19.547554882240142,51.2,35.5353864195138,62.8,46.52660644728785,46.4,45.21040270282561,23.0,16.797200092853718,16.05,13.165290686365328,7.948894511513799
Morelos,17.9,18.64894171269648,46.4,34.635133695271364,58.0,45.036426249449676,47.8,49.13406577193645,18.5,17.374717558224276,13.7,16.59470129059418,8.185754414710372
Nayarit,20.3,18.989894516605844,34.1,27.103789424733964,51.5,58.16391628064446,35.3,43.46847293077775,17.0,19.22702781803474,12.6,17.03808892837086,6.503472559843507
Nuevo León,13.5,13.400556694836048,22.8,27.269702850976707,27.2,39.554153209007765,25.7,40.73308583921007,11.7,16.98989831432555,3.5,18.445497962165398,7.068446825658278
Oaxaca,29.1,20.72917787421358,65.7,35.48665437228422,74.3,53.74485952844265,61.4,50.25497691066905,28.6,20.643241289501276,38.150000000000006,15.371258093647459,7.581306691900492
Puebla,21.9,19.177271544984496,48.3,40.96688958073142,67.3,56.84984072849298,60.8,39.16836495719036,22.2,24.47752016813684,19.25,13.128392618119573,6.2977466453015465
Querétaro,17.6,20.073121633218378,30.4,34.64852688003307,43.2,50.54904855859386,29.2,47.14794005879496,13.0,17.596478577313615,6.4,12.530311863151859,10.123619962025412
Quintana Roo,16.5,21.780285290084638,32.4,39.51722089534515,42.4,49.32598459040292,33.0,48.361337557985216,15.0,23.543151838912628,18.25,12.919197998071017,7.333181554155745
San Luis Potosí,20.6,20.18001537019414,34.6,27.15811714998871,48.2,59.40821281077909,42.3,52.416285335812276,13.9,17.869152216578684,16.5,13.055479622198597,8.012214572833834
Sinaloa,17.0,18.476395986271147,26.6,34.58207695129163,39.1,50.178818031993536,28.3,43.9931293989793,17.3,18.82298991407808,8.399999999999999,17.327970607725312,7.001472738180409
Sonora,14.6,14.687940045501286,24.4,36.29236543603676,33.2,41.94154447993924,27.8,43.58438891747966,19.6,20.149065841838258,8.649999999999999,13.157957081686485,6.014349046744996
Tabasco,17.9,18.072842626507615,44.8,37.4487680324589,58.3,61.62476259844523,50.1,43.902903127006795,38.9,21.55946744498004,28.1,19.773940218383945,6.083967199642562
Tamaulipas,16.1,15.797326891136077,27.9,34.13010219170035,39.4,43.995730982444414,37.5,40.37728300188778,12.4,18.851337257848282,6.449999999999999,13.828129059401602,8.133164106851224
Tlaxcala,16.1,17.975961795960355,45.2,35.13552012492823,61.9,54.5078543801842,62.9,48.694937274546916,22.7,23.35730028673757,8.149999999999999,14.916199385328403,9.788349002091666
Veracruz,25.5,20.051069636750494,49.2,36.887548560638315,60.9,49.7096023366582,57.7,45.005690512724065,21.6,21.818485463009093,25.0,15.41135123847991,7.526870462870853
Yucatán,21.2,21.53234796823973,35.1,40.02698082758505,45.8,41.290156931030445,45.7,45.897720582197394,15.4,16.161429539211618,23.7,16.56158753783287,6.881884789623002
Zacatecas,20.7,20.304550487275513,36.7,34.586623544938135,57.0,61.87360238494545,53.0,55.63801658710803,16.6,15.751515369626864,6.0,15.693686147080994,9.38899712287199
