state,income_actual,income_predicted,health_actual,health_predicted,education_actual,education_predicted,social_security_actual,social_security_predicted,housing_actual,housing_predicted,food_actual,food_predicted
Aguascalientes,33.0,34.20144709081768,26.2,27.850882552704594,16.5,15.49831498238268,34.7,37.28099589984748,3.6,4.1443651835093025,15.6,15.598111338661338
Baja California,18.8,26.815962157287167,28.4,31.42408520082935,15.5,15.167847770116534,34.7,35.75406864498247,5.1,4.983167055167055,10.0,12.404236342415754
Baja California Sur,17.9,35.504278196274086,17.3,25.622862871178178,14.2,17.580310181026977,29.9,41.75248245803904,9.25,15.049839880952383,14.5,18.31919038629753
Campeche,51.0,54.610429802473185,34.6,36.24262525131374,20.3,20.88392914626653,54.7,60.43032586200853,24.9,26.639927182539672,22.0,22.26186440867866
Coahuila,28.8,30.472201692751685,19.7,26.50462208404796,13.5,14.391945092371502,24.4,30.217831040364857,3.4,4.064263947245567,13.2,13.577908611323318
Colima,27.3,29.833233724608725,21.9,25.861536979131053,15.6,16.266195094302216,35.9,36.979399673018754,4.75,4.838711630118248,14.0,14.0488024952172
Chiapas,70.0,66.17541450920956,66.1,55.224851190476166,31.1,27.52199746919747,77.9,70.49491358996178,36.45,31.699375,20.9,22.06774346207971
Chihuahua,25.5,27.54432606282605,21.5,27.028513439802005,16.1,18.100446756494513,32.4,34.80391560652968,5.0,5.526297497029116,9.7,11.705275144300144
Ciudad de México,32.2,33.92766599413659,28.7,28.86300484189621,9.7,11.98877669971791,39.3,38.48338733674391,3.7,3.994580559799678,11.4,12.518599758085045
Durango,43.5,48.32305404181742,30.2,27.898823651931938,17.9,18.59945748023033,46.2,50.345085936368406,9.0,10.844080952380953,20.3,21.423941577416354
Guanajuato,41.4,42.75785062835855,33.2,31.868463938424775,22.8,20.7535415466886,50.2,48.85408064599307,7.800000000000001,7.869980430691263,18.3,18.958760979678217
Guerrero,63.7,58.68769345863987,52.7,49.029557943997446,28.8,26.869434388355593,71.6,66.88427867405727,40.4,36.717650595238105,31.5,26.269285236374362
Hidalgo,46.1,50.35913763167945,50.4,45.82527294777686,20.0,19.203265555853772,65.4,60.77541139103837,15.45,13.539084175831311,19.1,21.888064388099828
Jalisco,29.2,30.089022010342596,37.1,36.44380873968377,20.4,19.62509323099708,42.0,39.43861181986315,4.75,4.6105163198729375,13.8,13.81271232705203
Estado de México,52.9,50.64165364301176,44.2,37.28523550508418,16.3,16.44276729589666,52.1,50.92950283482934,8.05,9.023098660775593,20.3,20.522743588124946
Michoacán,46.4,45.20710334884069,51.2,45.23328890174321,28.9,25.041627109844175,62.8,57.13908302543774,16.05,12.586834307397414,23.0,20.286738429978993
Morelos,47.8,43.83699282661781,46.4,39.183665905811274,17.9,18.302258153691348,58.0,50.96449896010421,13.7,12.328762698335378,18.5,17.388256664388244
Nayarit,35.3,35.32874852092352,34.1,31.312774383777857,20.3,19.713832192745016,51.5,47.18008404475642,12.6,9.96731813665519,17.0,16.29650224171254
Nuevo León,25.7,29.429904670329666,22.8,26.7604111240007,13.5,13.891530758378543,27.2,31.41085058903086,3.5,4.234808978603096,11.7,12.82463980137509
Oaxaca,61.4,57.126864164563614,65.7,52.46231040803261,29.1,25.959154387279373,74.3,67.53484489256097,38.150000000000006,33.629565277777786,28.6,25.973895713921433
Puebla,60.8,57.01174147173788,48.3,45.08419647019647,21.9,21.722331491015822,67.3,60.58230402905574,19.25,15.098685694976114,22.2,21.87464530591009
Querétaro,29.2,33.625880538905534,30.4,31.92232558739607,17.6,18.832022595116367,43.2,41.40396233127983,6.4,7.28594744546184,13.0,14.12455098284069
Quintana Roo,33.0,43.175405418682615,32.4,33.00440004245483,16.5,18.077543636048848,42.4,49.72683457163837,18.25,17.847157142857146,15.0,19.627890322805843
San Luis Potosí,42.3,40.180374233119814,34.6,31.32846290478839,20.6,19.92573397414282,48.2,47.586489731905495,16.5,13.715102205863674,13.9,15.772005003140992
Sinaloa,28.3,30.69162851315351,26.6,28.25162888995825,17.0,17.46391568680454,39.1,41.81478460368751,8.399999999999999,9.03535052353272,17.3,16.455679169660744
Sonora,27.8,29.957628735153733,24.4,29.055179568204164,14.6,17.05288761351677,33.2,37.90545937369818,8.649999999999999,9.001398058787322,19.6,18.961349155099285
Tabasco,50.1,51.32216829041357,44.8,41.73766888289109,17.9,18.248240083807044,58.3,54.95345244945449,28.1,26.294175992063487,38.9,34.60280088683246
Tamaulipas,37.5,33.807075634496215,27.9,29.965650039175213,16.1,15.956189878104583,39.4,38.0716995190061,6.449999999999999,6.514912530056243,12.4,13.753891224951522
Tlaxcala,62.9,56.21109644353249,45.2,40.623870778069545,16.1,17.358268847367846,61.9,58.13085343723268,8.149999999999999,9.303582146145574,22.7,22.611020546441864
Veracruz,57.7,56.642029735761426,49.2,45.61295699062799,25.5,23.73280874888365,60.9,60.90857814095511,25.0,22.802359584567476,21.6,22.02134940453076
Yucatán,45.7,49.49081387930967,35.1,36.68001842140834,21.2,21.53608000088147,45.8,50.71423990150709,23.7,24.821980357142856,15.4,20.400210202811433
Zacatecas,53.0,48.773496825683885,36.7,41.07407929862535,20.7,21.827708071775717,57.0,58.31502287104535,6.0,9.012419753858373,16.6,19.809251312678544
