state,income_actual,income_predicted,health_actual,health_predicted,education_actual,education_predicted,social_security_actual,social_security_predicted,housing_actual,housing_predicted,food_actual,food_predicted
Aguascalientes,33.0,41.516289285714265,26.2,24.99498344686359,16.5,16.959655772005775,34.7,42.21322380952383,3.6,6.16341882145632,15.6,17.038049134199134
Baja California,18.8,40.37468928571432,28.4,28.978679545454533,15.5,18.961859126984127,34.7,43.72723452380952,5.1,7.012522460872462,10.0,16.527246753246757
Baja California Sur,17.9,52.875676190476185,17.3,28.362729743867245,14.2,21.454175216450217,29.9,53.67181666666667,9.25,21.09126458125208,14.5,26.126159063975223
Campeche,51.0,59.69716706349206,34.6,25.368667135642134,20.3,22.65311875901877,54.7,61.122272619047656,24.9,28.024183170995673,22.0,26.093466939433114
Coahuila,28.8,42.41074563492063,19.7,25.344412433155075,13.5,19.457814141414136,24.4,43.84187738095239,3.4,7.53288255494505,13.2,16.987807142857147
Colima,27.3,40.18945476190477,21.9,29.648021807359292,15.6,21.065872582972585,35.9,46.47018095238098,4.75,9.509985606060605,14.0,16.82491103896104
Chiapas,70.0,63.09028412698413,66.1,31.69743196778711,31.1,24.089170454545457,77.9,62.9560761904762,36.45,24.512937316849822,20.9,27.646206252081242
Chihuahua,25.5,41.009132142857155,21.5,27.06087994227994,16.1,19.018223901098903,32.4,40.657976190476205,5.0,7.43028834776335,9.7,16.182825324675328
Ciudad de México,32.2,41.5419761904762,28.7,28.522693037518035,9.7,19.633580555555557,39.3,43.29358571428572,3.7,8.515217186979687,11.4,16.894441991342
Durango,43.5,52.63685515873015,30.2,23.873246920889564,17.9,19.19409758297258,46.2,51.036618253968236,9.0,16.200828653291143,20.3,25.029811012027196
Guanajuato,41.4,43.035257142857134,33.2,24.322992177022314,22.8,21.333727200577204,50.2,48.42733333333335,7.800000000000001,7.928849564324562,18.3,19.81512007796125
Guerrero,63.7,59.21241984126986,52.7,24.625002471139975,28.8,20.362237698412702,71.6,59.11954603174603,40.4,24.734504202741704,31.5,27.5015245151907
Hidalgo,46.1,47.82506111111112,50.4,24.245074788854936,20.0,19.656242676767683,65.4,48.115420238095254,15.45,12.810162197524699,19.1,23.31053577337695
Jalisco,29.2,41.30638452380953,37.1,29.95631448943212,20.4,20.65904365079366,42.0,43.912029761904776,4.75,9.386111721611721,13.8,16.876389610389616
Estado de México,52.9,45.759683333333335,44.2,24.607961026228665,16.3,18.921175,52.1,48.821677380952394,8.05,10.981848767898772,20.3,22.76237043871161
Michoacán,46.4,42.26376349206349,51.2,29.36070280112044,28.9,21.70711901154402,62.8,47.82683452380954,16.05,10.456797943722943,23.0,20.749880891330882
Morelos,47.8,43.35043333333333,46.4,28.37687560054324,17.9,20.748671067821075,58.0,48.01087023809526,13.7,10.778319236319234,18.5,17.850076190476194
Nayarit,35.3,41.43692142857143,34.1,28.196865259740267,20.3,21.57240714285714,51.5,48.177145238095235,12.6,9.398626757964259,17.0,17.389252380952385
Nuevo León,25.7,40.19690198412698,22.8,24.783772095959606,13.5,19.352799422799425,27.2,42.73077857142858,3.5,9.66790382117882,11.7,16.708545238095244
Oaxaca,61.4,58.232050793650785,65.7,26.11904048149562,29.1,22.593564105339105,74.3,57.89607103174604,38.150000000000006,22.548840705128196,28.6,27.275332543273716
Puebla,60.8,54.25198708513711,48.3,24.840446668364308,21.9,18.978390151515153,67.3,51.42814047619047,19.25,10.966270719558219,22.2,26.274708703224874
Querétaro,29.2,42.23081785714285,30.4,29.587615301120433,17.6,23.00298293650794,43.2,44.76378452380953,6.4,10.18896243894994,13.0,16.99956666666667
Quintana Roo,33.0,59.27955295815298,32.4,28.33341409260674,16.5,22.46539188311689,42.4,62.33941666666669,18.25,23.677841733266728,15.0,29.47759521116138
San Luis Potosí,42.3,44.83269047619047,34.6,26.924016468253953,20.6,21.693242460317464,48.2,46.81870714285716,16.5,10.148770253357752,13.9,18.08148571428571
Sinaloa,28.3,39.346150396825394,26.6,22.260813804006446,17.0,19.034838528138533,39.1,41.30564166666669,8.399999999999999,8.76944947136197,17.3,18.40554199134199
Sonora,27.8,41.62904444444443,24.4,24.529864796069933,14.6,21.581358152958156,33.2,43.80196507936509,8.649999999999999,11.040633562271058,19.6,19.294754273504278
Tabasco,50.1,54.81663906926408,44.8,24.930089669807312,17.9,19.0159012987013,58.3,51.2848642857143,28.1,17.741309877622378,38.9,29.91153918108036
Tamaulipas,37.5,39.445517063492076,27.9,22.83530745480011,16.1,18.973804545454545,39.4,43.39261785714285,6.449999999999999,7.905491838716841,12.4,16.95844675324676
Tlaxcala,62.9,48.957952958152966,45.2,29.23859782276547,16.1,19.544629545454544,61.9,50.336178968253996,8.149999999999999,10.382970077145073,22.7,23.852989574314574
Veracruz,57.7,56.972150180375195,49.2,24.859553270095912,25.5,19.73625735930736,60.9,52.25573333333335,25.0,13.928051105838609,21.6,26.01095813712432
Yucatán,45.7,58.28878571428573,35.1,30.00908410894661,21.2,21.64233564213565,45.8,56.228208730158755,23.7,22.090051497113997,15.4,28.982203585303584
Zacatecas,53.0,46.02218571428571,36.7,30.080552981495615,20.7,22.961215476190482,57.0,51.930328571428575,6.0,11.566178102453105,16.6,22.97752857142857
