state,dimension,count,percentage,total_posts
Guanajuato,INCOME,14,9.859154929577464,142
Guanajuato,ACCESS TO HEALTH SERVICES,12,8.450704225352112,142
Guanajuato,EDUCATIONAL LAG,8,5.633802816901409,142
Guanajuato,ACCESS TO SOCIAL SECURITY,11,7.746478873239436,142
Guanajuato,HOUSING,92,64.7887323943662,142
Guanajuato,ACCESS TO FOOD,3,2.112676056338028,142
Guanajuato,SOCIAL COHESION,1,0.7042253521126761,142
Guanajuato,OTHER,1,0.7042253521126761,142
Michoacán,INCOME,10,4.464285714285714,224
Michoacán,ACCESS TO HEALTH SERVICES,34,15.178571428571427,224
Michoacán,EDUCATIONAL LAG,11,4.910714285714286,224
Michoacán,ACCESS TO SOCIAL SECURITY,46,20.535714285714285,224
Michoacán,HOUSING,104,46.42857142857143,224
Michoacán,ACCESS TO FOOD,7,3.125,224
Michoacán,SOCIAL COHESION,9,4.017857142857143,224
Michoacán,OTHER,3,1.3392857142857142,224
Sinaloa,INCOME,16,8.421052631578947,190
Sinaloa,ACCESS TO HEALTH SERVICES,24,12.631578947368421,190
Sinaloa,EDUCATIONAL LAG,5,2.631578947368421,190
Sinaloa,ACCESS TO SOCIAL SECURITY,45,23.684210526315788,190
Sinaloa,HOUSING,97,51.05263157894737,190
Sinaloa,ACCESS TO FOOD,0,0.0,190
Sinaloa,SOCIAL COHESION,1,0.5263157894736842,190
Sinaloa,OTHER,2,1.0526315789473684,190
Chihuahua,INCOME,11,6.25,176
Chihuahua,ACCESS TO HEALTH SERVICES,21,11.931818181818182,176
Chihuahua,EDUCATIONAL LAG,17,9.659090909090908,176
Chihuahua,ACCESS TO SOCIAL SECURITY,27,15.340909090909092,176
Chihuahua,HOUSING,80,45.45454545454545,176
Chihuahua,ACCESS TO FOOD,6,3.4090909090909087,176
Chihuahua,SOCIAL COHESION,9,5.113636363636364,176
Chihuahua,OTHER,5,2.840909090909091,176
Guerrero,INCOME,24,8.727272727272728,275
Guerrero,ACCESS TO HEALTH SERVICES,18,6.545454545454546,275
Guerrero,EDUCATIONAL LAG,6,2.181818181818182,275
Guerrero,ACCESS TO SOCIAL SECURITY,70,25.454545454545453,275
Guerrero,HOUSING,139,50.54545454545455,275
Guerrero,ACCESS TO FOOD,2,0.7272727272727273,275
Guerrero,SOCIAL COHESION,8,2.909090909090909,275
Guerrero,OTHER,8,2.909090909090909,275
Tamaulipas,INCOME,6,2.564102564102564,234
Tamaulipas,ACCESS TO HEALTH SERVICES,15,6.41025641025641,234
Tamaulipas,EDUCATIONAL LAG,5,2.1367521367521367,234
Tamaulipas,ACCESS TO SOCIAL SECURITY,46,19.65811965811966,234
Tamaulipas,HOUSING,148,63.24786324786324,234
Tamaulipas,ACCESS TO FOOD,7,2.9914529914529915,234
Tamaulipas,SOCIAL COHESION,3,1.282051282051282,234
Tamaulipas,OTHER,4,1.7094017094017095,234
Baja California,INCOME,6,10.0,60
Baja California,ACCESS TO HEALTH SERVICES,9,15.0,60
Baja California,EDUCATIONAL LAG,2,3.3333333333333335,60
Baja California,ACCESS TO SOCIAL SECURITY,16,26.666666666666668,60
Baja California,HOUSING,25,41.66666666666667,60
Baja California,ACCESS TO FOOD,0,0.0,60
Baja California,SOCIAL COHESION,0,0.0,60
Baja California,OTHER,2,3.3333333333333335,60
Zacatecas,INCOME,19,8.597285067873303,221
Zacatecas,ACCESS TO HEALTH SERVICES,12,5.429864253393665,221
Zacatecas,EDUCATIONAL LAG,23,10.407239819004525,221
Zacatecas,ACCESS TO SOCIAL SECURITY,40,18.099547511312217,221
Zacatecas,HOUSING,118,53.39366515837104,221
Zacatecas,ACCESS TO FOOD,7,3.167420814479638,221
Zacatecas,SOCIAL COHESION,2,0.904977375565611,221
Zacatecas,OTHER,0,0.0,221
Colima,INCOME,8,7.4074074074074066,108
Colima,ACCESS TO HEALTH SERVICES,19,17.59259259259259,108
Colima,EDUCATIONAL LAG,6,5.555555555555555,108
Colima,ACCESS TO SOCIAL SECURITY,19,17.59259259259259,108
Colima,HOUSING,48,44.44444444444444,108
Colima,ACCESS TO FOOD,4,3.7037037037037033,108
Colima,SOCIAL COHESION,4,3.7037037037037033,108
Colima,OTHER,0,0.0,108
Jalisco,INCOME,25,12.077294685990339,207
Jalisco,ACCESS TO HEALTH SERVICES,16,7.729468599033816,207
Jalisco,EDUCATIONAL LAG,14,6.763285024154589,207
Jalisco,ACCESS TO SOCIAL SECURITY,54,26.08695652173913,207
Jalisco,HOUSING,88,42.51207729468599,207
Jalisco,ACCESS TO FOOD,1,0.4830917874396135,207
Jalisco,SOCIAL COHESION,6,2.898550724637681,207
Jalisco,OTHER,3,1.4492753623188406,207
