state,educ_target,health_target,social_target,income_target,food_target,housing_target
Aguascalientes,15.7,20.2,36.0,38.7,18.2,3.05
Baja California,16.1,24.0,38.9,30.4,13.4,5.9
Baja California Sur,14.5,17.4,32.7,35.9,23.4,10.4
Campeche,19.2,21.0,54.9,57.7,26.1,23.45
Coahuila de Zaragoza,14.3,21.6,28.2,40.2,15.5,3.0
Colima,17.7,19.0,42.2,33.8,17.7,7.65
Chiapas,32.5,37.1,78.9,78.8,24.5,37.9
Chihuahua,16.2,17.1,33.8,37.6,13.5,5.45
Ciudad de México,9.5,26.7,40.7,43.8,17.8,4.1
Durango,16.9,22.9,45.7,51.1,18.9,5.85
Guanajuato,23.2,24.8,51.9,51.1,24.6,8.2
Guerrero,26.6,33.5,73.5,70.4,36.1,41.099999999999994
Hidalgo,18.9,26.9,66.6,57.2,28.5,14.2
Jalisco,18.5,32.1,44.4,41.2,14.8,5.85
México,14.1,34.2,52.7,60.7,24.2,8.55
Michoacán de Ocampo,29.4,38.7,64.3,49.8,23.3,14.25
Morelos,17.7,31.8,60.1,60.0,24.4,13.5
Nayarit,18.3,24.7,48.0,37.5,20.4,9.5
Nuevo León,14.4,21.5,31.9,35.6,14.7,3.0999999999999996
Oaxaca,29.6,36.9,73.0,64.1,33.3,38.2
Puebla,23.2,32.0,68.9,69.9,30.8,18.3
Querétaro,17.0,20.9,44.9,39.9,18.2,8.35
Quintana Roo,17.5,24.8,48.3,57.0,29.4,17.799999999999997
San Luis Potosí,19.2,19.8,51.6,51.5,18.7,17.15
Sinaloa,16.8,19.6,39.2,36.2,22.1,9.35
Sonora,15.6,20.1,34.0,40.1,22.3,9.35
Tabasco,16.6,27.0,58.5,59.6,43.3,26.25
Tamaulipas,15.6,19.6,39.8,48.3,14.1,6.85
Tlaxcala,16.1,27.6,64.9,68.7,32.9,7.949999999999999
Veracruz de Ignacio de la Llave,27.8,31.0,65.2,64.5,24.4,26.4
Yucatán,21.8,24.7,49.4,58.6,24.6,23.3
Zacatecas,21.9,23.8,60.0,54.3,17.0,5.35
