state,access_to_food_avg_sentiment,access_to_health_services_avg_sentiment,access_to_social_security_avg_sentiment,educational_lag_avg_sentiment,housing_avg_sentiment,income_avg_sentiment,other_avg_sentiment,social_cohesion_avg_sentiment,access_to_food_pct_yt,access_to_health_services_pct_yt,access_to_social_security_pct_yt,educational_lag_pct_yt,housing_pct_yt,income_pct_yt,other_pct_yt,social_cohesion_pct_yt
Aguascalientes,-0.29973474801061,-0.5924220963172805,-0.6388888888888888,-0.2344192634560906,-0.2556935817805383,-0.441203847347192,-0.5685820203892493,-0.1620616365568544,7.425645065983849,13.905849911364978,1.4181603309040771,20.85877486704747,4.756746109907425,31.741185739610007,10.626354146149302,9.267283829032891
Baja California,-0.4563106796116505,-0.4845605700712589,-0.3434343434343434,-0.1509259259259259,-0.3984674329501915,-0.4361233480176211,-0.5726495726495726,-0.1274509803921568,8.468073444779392,11.53740750890655,2.7130720745409698,14.798574952041657,7.152644560153466,37.325294601260616,9.619073718827076,8.385859139490272
Baja California Sur,-0.5062240663900415,-0.0692307692307692,-0.1833333333333333,0.2254901960784313,-0.4556962025316455,-0.2245467224546722,-0.5652173913043478,0.2236286919831223,10.57481351469943,8.556384379113647,2.632733655111891,17.902588854760857,10.399297937691973,31.4611671785871,8.073716542343133,10.399297937691973
Campeche,-0.3732327992459943,-0.4858346094946401,-0.3694915254237288,-0.1139622641509433,-0.5306704707560628,-0.3471698113207547,-0.5135350318471338,0.0928045789043336,8.510467634555226,10.475655731130184,2.366246891794337,21.256116146627097,5.622844308975696,31.884174219940643,10.074596935910805,9.809898131066014
Chiapas,-0.3867595818815331,-0.4466271312083024,-0.3517857142857143,-0.1600189933523267,-0.5235042735042735,-0.2944395149364093,-0.6167192429022083,-0.1557077625570776,5.625245001960016,13.2203057624461,2.7440219521756175,20.638965111720893,4.586436691493532,33.13406507252058,9.31987455899647,10.731085848686789
Chihuahua,-0.5535444947209653,-0.3949096880131363,-0.4739884393063583,-0.2399232245681382,-0.7279596977329975,-0.4816024759284731,-0.6374216651745748,-0.2133182844243792,7.461174881836596,6.853477380148548,3.8937654737789784,17.58946657663741,8.935404006302049,32.725635831645285,12.570335358991672,9.970740490659464
Ciudad de México,-0.5954545454545455,-0.5311411149825784,-0.5210526315789473,-0.267620232172471,-0.6085271317829457,-0.5106285504856148,-0.6296829971181557,-0.3106151990349819,9.831376988619436,13.680510039921348,1.6981469343979023,14.371685634272776,7.686349282011559,32.51504498599774,10.33784186379074,9.8790442709885
Coahuila,-0.4586614173228346,-0.4783783783783784,-0.3888888888888889,-0.1634295227524972,-0.5913173652694611,-0.265527950310559,-0.5623861566484517,-0.1408685968819599,5.772071355527781,12.612203158731964,1.7384388137711624,20.47494602886036,3.795023292807635,32.928076354959664,12.475855016475402,10.203385978866038
Colima,-0.2896551724137931,-0.4781659388646288,-0.3703703703703703,-0.0647419072615923,-0.4186046511627907,-0.4190434401053093,-0.6103174603174604,0.0164930555555555,7.103200522534291,7.478772044415415,3.5271064663618548,18.664271717831483,6.31939908556499,37.21423905943828,10.287393860222076,9.405617243631612
Durango,-0.2355021216407355,-0.4232081911262799,-0.4142857142857143,0.0841791044776119,-0.2324046920821114,-0.2855466130114017,-0.3280216476247745,0.0874233128834355,6.997228820269201,11.599366587490104,2.424782264449723,16.57759303246239,6.749802058590657,29.513064133016627,16.458828186856692,9.679334916864608
