state,FOVISSSTE,PromoDescuentos,agua potable,apoyo Infonavit,ayuda alimentaria,ayuda renta,banco de alimentos,becas,centro de salud,comedor comunitario,comida barata,conflictos,crisis,desempleo,discriminación,enfermedad,escuela secundaria,pensiones,pobreza,receta pobre,renta barata,seguro social,servicios en la vivienda,tianguis,tiendeo,violencia,vivienda del gobierno,Education_Dimension,Food_Dimension,Health_Dimension,Housing_Dimension,Income_Dimension,Social_Cohesion_Dimension,Social_Security_Dimension
MX-AGU,5.08,1.0,1.33,3.42,0.0,0.0,0.0,27.08,4.0,0.33,0.17,26.92,24.75,14.5,21.83,21.5,4.42,9.58,9.0,0.0,0.0,62.17,0.0,0.83,0.0,9.5,0.0,15.75,0.58,12.75,3.28,16.08,19.42,35.88
MX-BCN,37.67,7.5,18.0,71.25,0.0,0.0,0.08,14.33,3.83,0.0,0.0,34.92,25.25,21.0,21.58,18.08,4.25,8.25,8.42,0.0,0.0,70.58,0.0,25.5,3.5,6.58,8.33,9.29,9.14,10.95,33.81,18.22,21.03,39.42
MX-BCS,34.67,0.75,11.75,13.83,0.0,0.0,0.0,6.83,0.92,0.0,0.0,3.75,2.92,1.42,2.75,6.08,0.83,1.75,0.83,0.0,0.0,9.58,0.0,1.0,0.0,2.67,0.0,3.83,0.88,3.5,20.08,1.72,3.06,5.66
MX-CAM,2.08,54.33,1.17,0.08,0.0,0.0,0.0,5.75,0.08,0.0,0.0,31.42,4.17,1.58,27.5,5.0,1.08,1.0,1.42,0.0,0.0,4.92,0.0,26.25,2.08,2.17,0.0,3.42,27.55,2.54,1.11,2.39,20.36,2.96
MX-CHP,10.42,5.25,2.67,0.42,0.0,0.0,0.08,7.42,0.25,0.0,0.0,16.25,7.67,2.33,13.42,6.17,1.08,1.67,3.33,0.25,0.0,14.67,0.0,4.67,0.25,2.58,0.0,4.25,2.1,3.21,4.5,4.44,10.75,8.17
MX-CHH,30.42,53.75,8.58,27.5,0.0,0.0,0.0,18.75,2.17,0.17,0.0,34.08,16.67,10.83,28.67,17.42,2.42,37.17,6.25,0.0,0.0,64.42,0.0,23.92,23.58,7.42,0.42,10.58,25.36,9.8,16.73,11.25,23.39,50.8
MX-COA,21.42,6.92,7.08,3.33,0.0,0.0,0.17,24.33,3.0,0.0,0.0,37.42,14.42,10.33,28.58,24.17,3.92,14.67,5.67,0.0,0.0,63.75,5.0,5.83,2.08,10.67,0.0,14.12,3.75,13.58,9.21,10.14,25.56,39.21
MX-COL,3.58,47.67,0.67,0.0,0.0,0.0,0.92,20.08,1.92,0.0,0.0,30.08,4.83,1.92,20.58,16.58,1.83,16.33,1.75,7.08,0.0,49.42,0.0,42.5,0.0,8.5,0.0,10.95,24.54,9.25,2.12,2.83,19.72,32.88
MX-DUR,11.92,35.58,2.67,0.92,0.08,0.0,0.0,6.0,1.08,0.08,0.08,8.08,23.0,11.67,7.08,6.42,1.25,7.42,9.42,0.0,0.0,18.17,0.0,54.5,1.5,2.92,0.0,3.62,15.3,3.75,5.17,14.7,6.03,12.8
MX-GUA,16.08,44.08,8.5,15.67,0.0,0.0,0.5,18.33,2.17,0.17,0.75,33.67,13.25,7.17,24.5,11.58,2.5,9.83,5.0,0.0,0.0,60.5,0.0,59.08,7.25,6.33,0.0,10.42,18.64,6.88,13.42,8.47,21.5,35.16
