state,FOVISSSTE,PromoDescuentos,agua potable,apoyo Infonavit,banco de alimentos,becas,centro de salud,conflictos,crisis,desempleo,discriminación,enfermedad,escuela secundaria,pensiones,pobreza,seguro social,tianguis,tiendeo,violencia,access_to_food,access_to_health_services,access_to_social_security,educational_lag,housing,income,social_cohesion
MX-AGU,5.0,0.83,1.42,2.08,0.0,31.92,4.17,20.83,21.58,11.58,25.67,25.25,6.75,7.67,9.67,66.25,1.0,0.0,11.58,0.92,14.71,36.96,19.34,2.83,14.28,19.36
MX-BCN,29.5,9.5,18.33,48.67,0.0,20.67,5.75,31.83,22.0,13.42,30.25,21.92,4.33,6.92,9.08,74.83,30.0,0.5,7.5,13.33,13.84,40.88,12.5,32.17,14.83,23.19
MX-BCS,30.42,0.5,11.67,0.0,0.0,6.17,1.17,4.17,2.17,0.92,4.75,5.83,0.92,1.25,0.92,10.75,1.33,0.0,2.83,0.92,3.5,6.0,3.54,21.04,1.34,3.92
MX-CAM,1.83,34.5,1.42,0.0,0.0,8.33,0.58,39.0,3.83,1.5,38.5,5.67,1.08,1.0,1.92,5.83,18.67,0.0,3.0,26.58,3.12,3.42,4.7,1.62,2.42,26.83
MX-CHP,7.5,5.25,2.5,0.0,0.0,8.58,0.83,21.33,7.0,2.25,24.08,7.17,1.08,1.33,3.75,15.25,3.75,0.08,3.58,3.03,4.0,8.29,4.83,5.0,4.33,16.33
MX-CHH,26.17,38.92,8.0,24.42,0.0,23.08,2.33,31.58,13.25,8.25,39.0,20.33,2.92,53.83,6.33,76.17,34.42,17.17,9.5,30.17,11.33,65.0,13.0,19.53,9.28,26.69
MX-COA,17.5,6.0,5.83,2.33,0.17,27.67,2.67,35.0,11.42,9.42,40.0,28.67,4.5,13.0,6.25,73.83,5.08,1.17,11.58,3.1,15.67,43.42,16.08,8.55,9.03,28.86
MX-COL,4.0,25.83,1.08,0.0,0.0,24.33,2.58,30.5,4.33,1.83,33.5,20.33,2.75,13.33,2.17,64.5,49.83,5.33,9.33,27.0,11.45,38.92,13.54,2.54,2.78,24.44
MX-DUR,9.75,35.17,2.17,0.83,0.0,10.08,1.08,6.75,19.58,10.75,7.92,7.5,1.42,7.75,9.67,21.08,52.83,1.17,3.42,29.72,4.29,14.42,5.75,4.25,13.33,6.03
MX-GUA,13.5,39.0,7.58,9.75,0.83,22.33,2.17,30.17,10.58,6.0,32.33,14.17,2.83,8.33,5.17,64.83,61.58,3.25,7.58,26.16,8.17,36.58,12.58,10.28,7.25,23.36
MX-GRO,41.0,14.17,13.17,0.0,0.0,11.83,0.92,35.75,4.83,1.42,43.42,7.75,1.25,8.33,2.92,66.5,26.67,0.67,4.25,13.84,4.34,37.42,6.54,27.08,3.06,27.81
MX-HID,14.42,2.0,4.83,0.17,0.0,20.17,2.5,5.25,5.75,2.67,6.08,12.33,2.33,2.08,3.08,15.92,3.75,0.0,9.42,2.88,7.42,9.0,11.25,6.47,3.83,6.92
MX-JAL,13.5,23.17,8.33,49.92,0.83,28.58,5.83,37.33,19.33,9.33,41.33,26.42,4.5,18.08,8.0,64.67,51.83,1.25,11.58,19.27,16.12,41.38,16.54,23.92,12.22,30.08
MX-DIF,20.17,48.17,3.58,35.17,0.83,34.67,13.0,35.83,22.25,17.17,46.17,33.67,12.17,14.42,8.92,67.58,69.67,3.17,18.42,30.46,23.34,41.0,23.42,19.64,16.11,33.47
MX-MIC,13.67,45.83,4.92,2.08,0.08,17.08,2.0,13.5,18.67,7.5,16.08,14.33,2.33,23.33,9.58,32.17,55.5,1.5,6.5,25.73,8.16,27.75,9.7,6.89,11.92,12.03
MX-MOR,28.5,25.83,20.0,38.83,0.25,17.17,3.08,25.75,9.75,4.08,32.58,15.5,2.58,10.58,5.33,61.75,33.58,0.58,8.83,15.06,9.29,36.16,9.88,29.11,6.39,22.39
MX-NAY,15.83,27.42,4.92,1.33,0.0,17.83,1.83,16.08,13.83,5.58,20.92,19.5,2.83,2.75,7.0,18.83,53.25,0.0,9.08,40.34,10.66,10.79,10.33,7.36,8.8,15.36
MX-NLE,10.42,62.08,7.67,11.17,0.42,30.25,7.5,37.83,16.33,12.0,38.33,36.0,4.67,11.5,8.08,78.58,31.25,8.83,14.25,25.64,21.75,45.04,17.46,9.75,12.14,30.14
MX-OAX,16.58,47.83,10.25,0.0,0.0,10.58,1.17,12.67,8.83,2.67,15.67,9.0,2.0,5.0,4.67,25.75,54.67,0.0,5.42,51.25,5.08,15.38,6.29,13.42,5.39,11.25
MX-PUE,19.83,13.58,14.33,43.42,1.0,16.92,1.42,36.25,18.83,6.83,43.17,10.83,2.08,3.42,8.83,28.0,20.5,0.33,8.0,8.85,6.12,15.71,9.5,25.86,11.5,29.14
MX-QUE,14.17,23.92,8.5,6.08,0.08,22.83,3.25,43.0,15.75,9.58,51.58,17.5,2.92,10.25,7.92,31.67,38.83,1.75,8.42,16.14,10.38,20.96,12.88,9.58,11.08,34.33
MX-ROO,5.0,9.58,1.42,0.5,0.0,10.92,1.0,3.5,14.0,5.75,4.25,7.33,1.33,3.25,6.17,26.83,13.42,0.0,4.0,11.5,4.16,15.04,6.12,2.31,8.64,3.92
MX-SLP,7.83,3.17,2.42,2.33,0.0,17.5,2.67,4.17,6.08,3.08,5.08,15.83,3.17,4.92,2.92,14.17,3.5,0.58,8.17,2.42,9.25,9.54,10.34,4.19,4.03,5.81
MX-SIN,17.75,8.75,6.92,36.33,0.17,19.92,2.08,38.42,16.5,6.75,37.5,16.42,1.92,5.67,9.08,50.58,14.42,0.17,6.67,5.88,9.25,28.12,10.92,20.33,10.78,27.53
MX-SON,34.75,12.42,9.5,9.0,0.42,32.5,2.0,23.67,19.17,11.33,23.67,15.75,3.42,5.75,8.75,45.42,44.33,1.33,6.67,14.62,8.88,25.58,17.96,17.75,13.08,18.0
MX-MEX,12.83,48.92,5.92,4.42,0.33,24.42,2.5,27.58,12.0,7.0,34.75,13.42,4.42,7.83,5.75,55.08,74.08,3.58,9.92,31.73,7.96,31.46,14.42,7.72,8.25,24.08
MX-TAB,8.17,4.17,3.92,0.42,0.0,17.58,1.0,13.08,8.5,3.42,15.33,9.17,1.33,1.42,4.83,14.42,3.5,0.0,4.83,3.84,5.08,7.92,9.45,4.17,5.58,11.08
MX-TAM,27.33,30.42,9.17,1.17,0.0,23.42,2.25,44.33,18.92,10.58,45.58,20.5,3.0,8.17,7.92,58.0,46.58,6.17,6.83,27.72,11.38,33.08,13.21,12.56,12.47,32.25
MX-TLA,1.42,0.08,0.83,0.0,0.0,20.17,2.33,0.92,7.08,2.83,1.25,11.92,3.17,5.17,3.92,21.75,0.92,0.0,10.33,0.5,7.12,13.46,11.67,1.12,4.61,4.17
MX-VER,26.5,34.5,12.5,1.75,0.5,15.83,1.0,38.0,14.83,6.33,48.42,9.92,1.58,6.17,7.42,35.5,46.25,2.08,5.17,20.83,5.46,20.84,8.7,13.58,9.53,30.53
