,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
Chiapas,0.049663973833110435,0.4285916934565742,0.05032454088482766,0.06643968203879669,0.16849927195388484,0.10581282258965494,0.06865057137342748,0.06038829807470269
Queretaro,0.21980104920986995,0.2969634435938795,0.0515709071056792,0.09918031623397938,0.1118310563151618,0.09021820083277242,0.04038310676958918,0.08935605739598317
Baja California Sur,0.03854384037148321,0.29595394537842284,0.27410959308028915,0.027094623391585443,0.11247130065307519,0.11958552595546959,0.07433877289916979,0.05735442959615644
Guanajuato,0.036157774373722855,0.3312530144119815,0.006775415726809365,0.05055635152534413,0.11582252270186712,0.317956252993365,0.043032518832070196,0.09715619792124223
Hidalgo,0.026875236067103177,0.03451758867700808,0.042830708916931824,0.2640873114260413,0.09746232770986933,0.0522199134907007,0.4492432273379186,0.031113571561353755
Durango,0.022431944767825503,0.2786899836167209,0.15789505938336285,0.023398676120183048,0.06543810037030832,0.0428829639103513,0.03872101675363873,0.36936227648800457
Jalisco,0.04393005540393781,0.14726528976462927,0.0016293343441386393,0.4199603243532009,0.02207130735849714,0.004359685155221353,0.170831255974046,0.1887451151981729
Tabasco,0.09159341693398587,0.011463057986469868,0.0653641199072202,0.30009932428602754,0.032404336043167586,0.12557743838729996,0.11028774450731535,0.26151097075055724
Zacatecas,0.15398260860525992,0.10631389615019816,0.07648778820700382,0.05795588038479057,0.04635211095112237,0.42715050781558284,0.05294561541577977,0.07732829486691119
Veracruz,0.18178212343299405,0.042851192776829077,0.07655449739103592,0.16286622987357394,0.10266615440992696,0.11373229674652542,0.14647423019277686,0.17192402801807874
Sonora,0.36374268248225816,0.039866762436468674,0.033834995181068715,0.012127696847547498,0.08284469852964924,0.0382777029212618,0.21015408752563017,0.2178615803319802
Puebla,0.13699331302345097,0.02602782429593479,0.048424151372575094,0.06368102689380038,0.37939846591393134,0.0977164137220096,0.10142308530772855,0.14451710001895865
Baja California,0.05144979908197586,0.031481522437641206,0.22956298608998102,0.06694584919272789,0.26436269146874924,0.31342438402091516,0.037967427991976846,0.00410376258470042
Ciudad de México,0.024513607954487142,0.023146475754576186,0.2815423053334752,0.11401868144815118,0.01702852439676483,0.1441771821598052,0.20475443383555963,0.18918313422276217
San Luis Potosi,0.01924374840203243,0.041981801670004114,0.025552133084864762,0.20229350991545486,0.10871889716736781,0.23585945688403775,0.2647907919143795,0.100622168937548
Oaxaca,0.23155575568775813,0.1154555373872893,0.05231696445023259,0.11393505041039764,0.10562817306610016,0.04716629498811343,0.2461961550814195,0.08703899128893867
Coahuila,0.06325091539241945,0.29641882847324597,0.12817073074620786,0.14322838946327107,0.023656006387053265,0.06109527776812529,0.009870896341282522,0.273295800508476
Nuevo Leon,0.08738879290836574,0.019990822130943324,0.23893133252381515,0.12443979881113043,0.19879277865247622,0.027983462552080975,0.16238892152870085,0.13950275213051683
Tlaxcala,0.006962465352725867,0.6296850725520544,0.022947604865853642,0.03234727403996761,0.06902942919039086,0.14179866483680476,0.03374913665665526,0.06207366253301296
Quintana Roo,0.19895028243366225,0.010326445730494961,0.002377623316621588,0.05388671322814074,0.18519733280678627,0.06215987606521915,0.344483150902206,0.14154769640293968
Mexico,0.09332703494882139,0.15640988516943558,0.2147869273988069,0.020567100018897354,0.15484759310328014,0.16629323969584092,0.13006255405135467,0.06242237670365165
Sinaloa,0.07211118187654054,0.004051220976378982,0.13768392779900948,0.33665370021037916,0.30335625893692414,0.029302388421200733,0.060178315933242306,0.0555505797075631
Campeche,0.20456473253053165,0.1376379474592074,0.042262328677240696,0.09360234838998716,0.17409215057429311,0.06618503128892966,0.10475068303539642,0.17642822360684132
Michoacan,0.2766615470593657,0.2349569599394308,0.1354541153807015,0.06537734501223531,0.06176423302271772,0.03963088864305115,0.1221435029959816,0.06268669629439871
Tamaulipas,0.03636633258941904,0.19417106993867236,0.07463538378960585,0.08328748523873801,0.14238997532345732,0.11801930866275513,0.08893641251621405,0.2613125558198069
Chihuahua,0.01339314881426636,0.0153997091696523,0.016589744164825837,0.19037246847758882,0.6506275967130184,0.03189911668964431,0.053193529959742095,0.02767198182519149
Yucatan,0.09718075800022172,0.167305284790091,0.12174179673408021,0.14521777982011033,0.11075447485474994,0.0496018024897236,0.2094198692324343,0.09682268440078913
Nayarit,0.03168815202723133,0.13293261481318144,0.18900059696300003,0.1994661307224101,0.2060875378863175,0.15731072748424507,0.06252667600991296,0.020502406415645148
Colima,0.04748398098175237,0.3052042528030953,0.2343392673860774,0.09780026141340971,0.015435280481927625,0.12777734104858873,0.1317739105225882,0.03953679385940989
Guerrero,0.04307794291972839,0.027373656342527742,0.22737612303318902,0.2785373015380791,0.17291690872748455,0.05553890870389188,0.1749033731508079,0.01889626386599457
Morelos,0.02942897388922783,0.04602474939822513,0.021406220569473382,0.29706997428110105,0.06730044043033512,0.06751169352427565,0.27877526548218856,0.19147829045045436
Aguascalientes,0.05073920564076971,0.08655375458785562,0.2891856765696415,0.05204191930465421,0.09603007372268199,0.13519757388122697,0.1211235164820346,0.1684102773360338
