state,educational_lag_actual,educational_lag_predicted,health_actual,health_predicted,social_security_actual,social_security_predicted,income_actual,income_predicted,food_actual,food_predicted,housing_actual,housing_predicted,social_cohesion_predicted
Aguascalientes,16.5,8.991179375074946,26.2,22.12739778563512,34.7,39.43215499244109,33.0,40.62108044662085,15.6,21.899314699267,3.6,18.6568371651243,13.905074703529552
Baja California,15.5,15.968417686223159,28.4,20.860155823641275,34.7,44.37544408997117,18.8,41.454782085616586,10.0,23.222895451428755,5.1,10.29677592411707,13.974490869366562
Baja California Sur,14.2,24.206869379140684,17.3,25.800513624195826,29.9,60.79599433376235,17.9,56.11371288167235,14.5,26.690707534331672,9.25,12.754048995262819,11.421339203846475
Campeche,20.3,24.31005654907186,34.6,23.794260345375424,54.7,60.20590870474569,51.0,57.18319806611321,22.0,19.875392084719543,24.9,15.104327731902158,14.006018763517746
Coahuila,13.5,8.909185056562512,19.7,13.2900339576099,24.4,33.018226828288384,28.8,48.31862014787778,13.2,23.769283470148345,3.4,15.063684418726051,13.100446581443503
Colima,15.6,15.04704590784154,21.9,22.557042120694373,35.9,45.58878394453137,27.3,54.846294967863805,14.0,20.542333238972446,4.75,13.261065110080198,13.531169093737168
Chiapas,31.1,25.05085786560843,66.1,25.386875481729295,77.9,60.07469509585896,70.0,56.860534427242285,20.9,22.23165207788768,36.45,19.26877921122764,13.534583962532395
Chihuahua,16.1,17.55778296317102,21.5,22.321063063794828,32.4,32.6914990494832,25.5,50.00223175511786,9.7,19.46528088115907,5.0,18.874821297112714,15.401597045038246
Ciudad de México,9.7,3.8926312896017468,28.7,15.375206591231679,39.3,40.312434843876574,32.2,43.34238370551661,11.4,20.910458318435044,3.7,17.299577882426913,13.955865340745733
Durango,17.9,21.258393414699533,30.2,26.943225678197482,46.2,47.830309621022884,43.5,46.90310799953924,20.3,20.698676444837766,9.0,13.593488344567392,11.842653872902222
Guanajuato,22.8,16.374161048353994,33.2,20.964750023050765,50.2,41.18461447347372,41.4,56.930148502349965,18.3,20.61959532964421,7.800000000000001,14.127635133495739,13.719558007132381
Guerrero,28.8,19.635876131440877,52.7,22.736060193307775,71.6,45.786200913244,63.7,51.937968526849474,31.5,25.062973525743203,40.4,14.656846207638978,13.954364155291863
Hidalgo,20.0,14.885513798720414,50.4,20.45571995174527,65.4,59.568637084455005,46.1,60.07941223816899,19.1,30.186862546330016,15.45,17.535518485089696,11.518887941088805
Jalisco,20.4,12.269413131328434,37.1,20.64394146273941,42.0,43.93336220280616,29.2,51.062044291019625,13.8,25.324573295543317,4.75,16.100832954024536,12.728446788580186
Estado de México,16.3,14.20285933140039,44.2,23.142677018989197,52.1,45.60536843160903,52.9,45.618834692692076,20.3,20.27556016671764,8.05,14.039657870754269,13.80326330281417
Michoacán,28.9,19.070382798451462,51.2,23.872008618607325,62.8,48.91274313560358,46.4,48.04267416953976,23.0,20.14890228829475,16.05,15.414031736703759,12.828189590012014
Morelos,17.9,18.466653335591737,46.4,24.91978143317096,58.0,41.797321034274916,47.8,54.386147847698034,18.5,20.17428962896583,13.7,17.93083482928422,14.081136543026414
Nayarit,20.3,16.512080191571425,34.1,20.85616940548734,51.5,59.40421982850127,35.3,52.02237843867951,17.0,20.683905288984267,12.6,19.25930230045972,12.487785734995716
Nuevo León,13.5,9.554113471035858,22.8,15.054383867648681,27.2,42.2016374541148,25.7,46.03577709886583,11.7,20.303614141238462,3.5,22.58328638997567,14.47292437323937
Oaxaca,29.1,19.99206546073186,65.7,23.838443607108722,74.3,54.680893831344,61.4,58.08884917388251,28.6,21.569972332500146,38.150000000000006,15.410845463169057,12.617223018067609
Puebla,21.9,18.922251178973777,48.3,28.520090474727727,67.3,57.712843953221,60.8,45.164288011777316,22.2,26.72627907689464,19.25,15.273846586976555,15.358505566911212
Querétaro,17.6,18.971713006008986,30.4,20.580660132806123,43.2,52.70327873497334,29.2,57.42991828301732,13.0,19.5707707050515,6.4,12.820048773718494,14.142694285969982
Quintana Roo,16.5,22.513093771213462,32.4,27.26843820413131,42.4,49.52772348901709,33.0,52.87547860078981,15.0,25.51902686647989,18.25,15.886486201618581,12.290204643463436
San Luis Potosí,20.6,19.847599277024933,34.6,23.18209249895853,48.2,57.752361535134355,42.3,61.02308324851569,13.9,22.4707035630232,16.5,13.723405547248678,12.125861939534726
Sinaloa,17.0,16.431268309694573,26.6,23.0751065101378,39.1,52.676151384015704,28.3,44.70466480329424,17.3,24.769688768227667,8.399999999999999,16.7864880883881,14.140731165534286
Sonora,14.6,8.928867623425765,24.4,20.276385168554043,33.2,36.49102373539871,27.8,50.46130337527029,19.6,24.602894609106208,8.649999999999999,12.901611751263715,12.142397995406409
Tabasco,17.9,15.279345769515558,44.8,19.084268496377522,58.3,62.37594176657306,50.1,55.14084739189519,38.9,25.11998620672386,28.1,20.33767093362365,11.953299427178523
Tamaulipas,16.1,13.16879921236433,27.9,18.37568383702571,39.4,43.20733137505928,37.5,46.94499535890207,12.4,20.885417682861476,6.449999999999999,14.623817942354588,14.714183793675033
Tlaxcala,16.1,16.199445639866937,45.2,24.61437133365101,61.9,55.938551725719506,62.9,57.51814141680646,22.7,24.98322105041232,8.149999999999999,16.58951432628213,12.538337828216394
Veracruz,25.5,18.40891540586734,49.2,21.99245109470474,60.9,47.07764665713494,57.7,49.744322529151766,21.6,24.431154758211242,25.0,16.881248479795374,13.922697737859929
Yucatán,21.2,20.14215293270875,35.1,22.577609831540407,45.8,41.03489188467689,45.7,51.86868506722409,15.4,24.97669935571397,23.7,20.65178993025649,12.576949018116837
