state,income_actual,income_predicted,health_actual,health_predicted,education_actual,education_predicted,social_security_actual,social_security_predicted,housing_actual,housing_predicted,food_actual,food_predicted
Aguascalientes,33.0,41.088266844344304,26.2,21.333516276375523,16.5,14.656331917717711,34.7,41.29569193450206,3.6,11.780260037822671,15.6,20.22775521654593
Baja California,18.8,37.82980480648943,28.4,18.55857798153763,15.5,16.29416495474072,34.7,44.287103890532364,5.1,8.184971797755825,10.0,17.359855515832813
Baja California Sur,17.9,53.57916264307353,17.3,23.519691403165258,14.2,19.986745356710923,29.9,42.520499998044926,9.25,7.8729067557224575,14.5,20.710191172737822
Campeche,51.0,54.478090764198306,34.6,25.745370750294438,20.3,22.36218260232799,54.7,51.94843294109953,24.9,14.973586808601638,22.0,21.18774132646038
Coahuila,28.8,49.88899700500071,19.7,18.08238260308306,13.5,13.074797628586506,24.4,42.501315517310694,3.4,10.074201086742825,13.2,22.55368010080001
Colima,27.3,54.933988668484496,21.9,24.931071832508017,15.6,19.93552847722433,35.9,54.314222613388395,4.75,12.522818775630071,14.0,20.975434159988303
Chiapas,70.0,54.717473238550575,66.1,25.31654689698693,31.1,22.15297382331775,77.9,53.11848179581678,36.45,14.628941476536792,20.9,21.877692669593767
Chihuahua,25.5,45.58693551885684,21.5,20.50886006166622,16.1,24.912845763180776,32.4,49.15409914839915,5.0,19.40856283051191,9.7,18.712776147477676
Ciudad de México,32.2,44.49936370805432,28.7,19.466411843871022,9.7,14.390386908313015,39.3,48.71578923638349,3.7,14.205925382989253,11.4,20.60085331616842
Durango,43.5,47.9833377318702,30.2,23.851964226258094,17.9,16.970267786386287,46.2,40.40618369195303,9.0,7.751118130042583,20.3,19.09754571327057
Guanajuato,41.4,52.52478816493038,33.2,22.10161508072924,22.8,20.920458042278383,50.2,53.40677969412391,7.800000000000001,9.023381613733854,18.3,18.348400475337765
Guerrero,63.7,48.19478909529274,52.7,23.88840812526482,28.8,18.57763276134728,71.6,42.2738378637512,40.4,14.690818614510913,31.5,21.99022783156914
Hidalgo,46.1,61.94331290250726,50.4,28.104337931196135,20.0,20.247728978971487,65.4,61.07498092767839,15.45,21.650438773698614,19.1,31.76286032814389
Jalisco,29.2,52.44858895079795,37.1,26.560124619984364,20.4,23.539589141615828,42.0,60.7368056670347,4.75,19.517696958568823,13.8,28.411226733318784
Estado de México,52.9,46.530431220752476,44.2,24.694931581784722,16.3,17.073720631837425,52.1,48.25468704557004,8.05,13.448695637151271,20.3,19.790553036820985
Michoacán,46.4,48.48399836059381,51.2,26.97470562454978,28.9,22.429928444043444,62.8,54.02547889868459,16.05,17.03583690085348,23.0,21.56397308288377
Morelos,47.8,54.72836898636275,46.4,27.881257730787187,17.9,16.983120733066816,58.0,55.020552056981884,13.7,20.133887400121374,18.5,24.909470807173726
Nayarit,35.3,49.521360115378044,34.1,20.879062494473345,20.3,19.25335503822237,51.5,48.67217325969518,12.6,13.314696810945561,17.0,18.525422512354208
Nuevo León,25.7,46.50188526439015,22.8,20.926269647395507,13.5,16.946553583128864,27.2,49.94528854440524,3.5,21.251394353790356,11.7,22.228131867011555
Oaxaca,61.4,61.06105877804668,65.7,29.799639864782247,29.1,22.35743007820833,74.3,60.21928509068654,38.150000000000006,21.058815932071862,28.6,25.78107529285589
Puebla,60.8,43.555521384345624,48.3,25.640159758919992,21.9,19.25551098223074,67.3,52.38443859128606,19.25,18.810419927715472,22.2,25.10640625755439
Querétaro,29.2,53.87739507500099,30.4,25.8234607646545,17.6,26.21344197740371,43.2,55.01980640614249,6.4,15.596336132624238,13.0,22.76924060561029
Quintana Roo,33.0,54.32482568038803,32.4,29.28334420842889,16.5,22.57801978685473,42.4,55.754520805942335,18.25,20.147855872054635,15.0,27.699523993015482
San Luis Potosí,42.3,56.48195429988635,34.6,24.152902844313825,20.6,19.51857097404677,48.2,52.42251399027833,16.5,11.336604048518302,13.9,22.089849198161602
Sinaloa,28.3,43.29680023426843,26.6,24.625315888108688,17.0,18.665578526153443,39.1,47.22511120445813,8.399999999999999,15.870768854609848,17.3,23.32727911324856
Sonora,27.8,54.024493428932296,24.4,24.874335963684782,14.6,22.339253288775943,33.2,50.446155751749544,8.649999999999999,16.544947709933027,19.6,25.813455967415205
Tabasco,50.1,53.40364440407536,44.8,26.39268543941427,17.9,19.233025207386515,58.3,55.4382553463112,28.1,17.021394531758034,38.9,26.394573983580887
Tamaulipas,37.5,46.303437443985736,27.9,20.107810879147507,16.1,17.019565710091033,39.4,48.23114993821772,6.449999999999999,12.855579635527342,12.4,19.53591719190984
Tlaxcala,62.9,59.28407820263271,45.2,26.434946546483165,16.1,21.31225528452337,61.9,57.15816855032254,8.149999999999999,13.799998706574979,22.7,25.197124334915014
Veracruz,57.7,52.367431161960916,49.2,25.994711927159212,25.5,20.04814842627748,60.9,50.03546392813263,25.0,17.33225702018148,21.6,25.454156575206667
Yucatán,45.7,52.80315997125832,35.1,26.359317666823653,21.2,20.223988922564125,45.8,50.218319870943006,23.7,19.17126137994937,15.4,23.947035123721214
Zacatecas,53.0,55.78451183661791,36.7,24.598354696699875,20.7,23.818543183475377,57.0,58.04395224127195,6.0,14.680278304807825,16.6,20.54707389008934
