state,income_actual,income_predicted,health_actual,health_predicted,education_actual,education_predicted,social_security_actual,social_security_predicted,housing_actual,housing_predicted,food_actual,food_predicted
Aguascalientes,33.0,40.519354317955695,26.2,29.81696530706606,16.5,16.411044613862902,34.7,45.600679796108686,3.6,11.929504460891637,15.6,16.090982839591852
Baja California,18.8,38.03322463227374,28.4,28.689002134761026,15.5,16.64990046366117,34.7,49.02311430549925,5.1,6.455034013005907,10.0,17.178691618861567
Baja California Sur,17.9,53.633904847015316,17.3,34.39916990274255,14.2,20.76870067647514,29.9,47.67501048390511,9.25,9.881699490177349,14.5,18.56409680980944
Campeche,51.0,52.92109127886149,34.6,38.22688871979978,20.3,21.173492754654657,54.7,50.64209563534098,24.9,14.694785086147803,22.0,18.65297966295678
Coahuila,28.8,42.53606513051151,19.7,35.45368863342263,13.5,15.808011789585752,24.4,48.451208030484345,3.4,13.729798974298273,13.2,18.607181681313705
Colima,27.3,51.67193425879049,21.9,29.86214338163699,15.6,18.912861085393644,35.9,50.943445901718356,4.75,12.326210337874942,14.0,17.391393417404544
Chiapas,70.0,50.212035549413656,66.1,34.756195926659956,31.1,19.92052657854766,77.9,47.79879608154259,36.45,13.553583794779184,20.9,14.654974066411263
Chihuahua,25.5,47.43246619607906,21.5,34.14783612702332,16.1,21.63665264580019,32.4,49.48438468009646,5.0,18.204988975343333,9.7,15.727703124256415
Ciudad de México,32.2,36.372177318342665,28.7,24.629228323037154,9.7,15.765744496478035,39.3,49.89501985549868,3.7,10.394614276706715,11.4,16.947003925445188
Durango,43.5,40.621653124271134,30.2,32.4289736001796,17.9,18.65120073892147,46.2,42.96344416585396,9.0,11.889576621389448,20.3,16.61818353075778
Guanajuato,41.4,45.27127439189016,33.2,31.58105254756342,22.8,18.86229296013617,50.2,49.536869047560835,7.800000000000001,6.744060028568669,18.3,17.120937902154335
Guerrero,63.7,51.38311984504738,52.7,38.151185435151206,28.8,19.882086890776755,71.6,48.235590543772595,40.4,16.691932465948835,31.5,21.105733587360135
Hidalgo,46.1,50.03773364041761,50.4,37.44059609070858,20.0,18.41453279983326,65.4,46.28301777943059,15.45,14.601312267140234,19.1,28.122165013445215
Jalisco,29.2,37.85084352495325,37.1,31.662206366015603,20.4,21.732030574767354,42.0,50.62040802891514,4.75,18.031277792996725,13.8,23.713965797395996
Estado de México,52.9,44.12487540339643,44.2,33.61570826585314,16.3,18.05466444418236,52.1,48.17727562669538,8.05,11.570067893005966,20.3,15.429654694680524
Michoacán,46.4,43.65426853469454,51.2,37.21426156083005,28.9,21.370381068380727,62.8,54.42021029586245,16.05,18.575469615404756,23.0,19.194801867235157
Morelos,47.8,48.072381951528925,46.4,32.15206774701418,17.9,17.026236363306605,58.0,49.13938374609147,13.7,16.686021653807803,18.5,18.40662266459488
Nayarit,35.3,44.1325545179324,34.1,29.238475525614778,20.3,18.762952539881685,51.5,49.19458940444232,12.6,12.411380362885733,17.0,17.280712233397054
Nuevo León,25.7,40.67374993466479,22.8,30.59183700743078,13.5,16.716203359822373,27.2,48.011963102487975,3.5,17.17404393372157,11.7,17.12986107506996
Oaxaca,61.4,50.979764898803154,65.7,37.05960218844612,29.1,20.405289865745832,74.3,52.37473792962633,38.150000000000006,19.34098180404703,28.6,23.57630512107679
Puebla,60.8,38.37612720987487,48.3,36.721185811551905,21.9,18.216939686058204,67.3,51.79274136060469,19.25,16.181994598145856,22.2,24.512434231886424
Querétaro,29.2,44.806478506451484,30.4,35.78996318469167,17.6,23.236605148814736,43.2,52.94354671223945,6.4,17.346211591298353,13.0,20.28925907844545
Quintana Roo,33.0,47.733439305973306,32.4,37.10569983211734,16.5,20.980744434427717,42.4,49.41080671182437,18.25,16.595534931556514,15.0,25.348234723371185
San Luis Potosí,42.3,51.04193091227598,34.6,27.02276965459574,20.6,19.035071831399677,48.2,50.5398933188653,16.5,8.548076241085884,13.9,17.10581453186469
Sinaloa,28.3,43.87658682330107,26.6,35.22308483976353,17.0,18.85705079014977,39.1,50.73397522624543,8.399999999999999,17.819941638540527,17.3,22.237446542013984
Sonora,27.8,45.011984928215156,24.4,39.99917623964662,14.6,23.219344093621977,33.2,50.42241209689171,8.649999999999999,19.470133065270165,19.6,22.967872355013373
Tabasco,50.1,43.343450394692084,44.8,39.598386935720974,17.9,18.617160109366512,58.3,54.29194406165583,28.1,17.37638788558542,38.9,28.292963488101343
Tamaulipas,37.5,41.12338938522086,27.9,35.2355510872244,16.1,17.08673690421834,39.4,47.025833419445505,6.449999999999999,13.197713284909032,12.4,16.60483977985059
Tlaxcala,62.9,49.78999398002192,45.2,33.017868726631,16.1,18.867559959776393,61.9,47.34322182512719,8.149999999999999,13.527708462460009,22.7,20.865240498934728
Veracruz,57.7,45.66005092983919,49.2,37.54036151008117,25.5,20.659457039568792,60.9,49.29997637101109,25.0,17.131893834468926,21.6,22.762686193075904
Yucatán,45.7,46.39834064609188,35.1,38.027747293361045,21.2,20.884495553565973,45.8,50.3792961728995,23.7,16.332227608915627,15.4,15.875428112279977
Zacatecas,53.0,52.79090148727138,36.7,35.03440996843681,20.7,21.494759232569102,57.0,57.94837659494498,6.0,13.079285400859892,16.6,17.890356164821203
