state,income_actual,income_predicted,health_actual,health_predicted,education_actual,education_predicted,social_security_actual,social_security_predicted,housing_actual,housing_predicted,food_actual,food_predicted
Aguascalientes,33.0,33.62427733885576,26.2,27.93405019083579,16.5,15.653647461355002,34.7,36.9951720639516,3.6,4.167555100277026,15.6,15.324767414403764
Baja California,18.8,25.189818783068773,28.4,32.06002720727071,15.5,15.121435848168474,34.7,35.89529562075543,5.1,5.140808140357783,10.0,12.04786101272465
Baja California Sur,17.9,30.677702207378722,17.3,26.097864372534154,14.2,17.69861355720212,29.9,40.36364597309775,9.25,15.346658369408374,14.5,17.698980963716348
Campeche,51.0,54.259658674092265,34.6,36.21545133743855,20.3,21.36730147534458,54.7,59.63184022962653,24.9,26.744319140678094,22.0,22.138041269926976
Coahuila,28.8,29.84772807131141,19.7,26.676638497945028,13.5,13.733839420754531,24.4,28.88240409808058,3.4,3.969684429281355,13.2,13.487709431982164
Colima,27.3,30.149802706552716,21.9,25.934557673189975,15.6,16.337725295137385,35.9,35.85970207005659,4.75,4.713016133196791,14.0,14.144636166863442
Chiapas,70.0,65.29134904793062,66.1,55.96320238095235,31.1,26.669686967073325,77.9,71.10673804368048,36.45,32.11921897546895,20.9,21.806613853787585
Chihuahua,25.5,28.824353553853552,21.5,26.503275901774305,16.1,17.75064654560408,32.4,34.78606411788534,5.0,5.512379146446169,9.7,11.468858225108235
Ciudad de México,32.2,33.476294775123215,28.7,28.780404321683616,9.7,12.743777974550703,39.3,38.59813199661154,3.7,3.9564994955282393,11.4,12.510718221172771
Durango,43.5,48.31103242563693,30.2,28.077119717042812,17.9,18.8165937941369,46.2,49.9457632654163,9.0,11.394905844155838,20.3,21.25638366965117
Guanajuato,41.4,42.72214800611516,33.2,31.81412395274711,22.8,20.830615780683956,50.2,48.967700589081346,7.800000000000001,7.876523471350167,18.3,18.861571697461518
Guerrero,63.7,58.58523868818946,52.7,49.40804321819822,28.8,26.613090075633178,71.6,66.63326781173382,40.4,37.267542887667894,31.5,27.682817794798524
Hidalgo,46.1,50.45561815504627,50.4,45.83080062980498,20.0,19.224732250073174,65.4,60.79797355472938,15.45,13.933208652388366,19.1,21.816208066378728
Jalisco,29.2,30.23774693407538,37.1,36.71804674779678,20.4,19.297943362193358,42.0,39.292094662762814,4.75,4.6717131581282665,13.8,13.648503476321658
Estado de México,52.9,50.26090609119188,44.2,37.61430148713056,16.3,16.50759145778464,52.1,50.84281500153893,8.05,9.05166282972844,20.3,21.059209429257606
Michoacán,46.4,45.72562942992011,51.2,45.38161729823321,28.9,24.66800457779767,62.8,57.96713583360894,16.05,13.13495299679864,23.0,20.575050854308166
Morelos,47.8,43.857349172432514,46.4,39.038885397991365,17.9,18.472060072503254,58.0,51.95387226743366,13.7,12.267596506364452,18.5,17.67653962830099
Nayarit,35.3,35.56056028539361,34.1,31.285291643351062,20.3,19.72691358389085,51.5,47.84151830690429,12.6,10.143027932157878,17.0,16.343184830321196
Nuevo León,25.7,29.63093291893292,22.8,26.91484119597962,13.5,13.360868424504785,27.2,31.72525418489891,3.5,4.146464502743245,11.7,12.817295060999616
Oaxaca,61.4,57.1090360533302,65.7,52.18890971262882,29.1,25.710102977830257,74.3,67.1953451911445,38.150000000000006,33.53307182968547,28.6,25.98699594732157
Puebla,60.8,56.75604996659877,48.3,45.19062570762572,21.9,21.390936844720944,67.3,61.22618884020463,19.25,14.896164864546705,22.2,22.242375339995718
Querétaro,29.2,32.76404793663125,30.4,32.17971361562527,17.6,18.850655818045848,43.2,41.35971171328671,6.4,7.474027566931693,13.0,13.934403614062703
Quintana Roo,33.0,43.511690433324446,32.4,33.036000708547704,16.5,18.36504761652488,42.4,50.43561137627424,18.25,18.919008436008433,15.0,19.076239025184815
San Luis Potosí,42.3,40.09330169721345,34.6,31.30661354500298,20.6,19.876204390306654,48.2,47.71797310892485,16.5,13.659920350810463,13.9,15.412111679986678
Sinaloa,28.3,30.521715266215267,26.6,28.462083870405383,17.0,17.77692066297513,39.1,42.42858647150636,8.399999999999999,9.02415451998927,17.3,16.669497059758413
Sonora,27.8,29.76857350982351,24.4,29.346591258118583,14.6,16.754759599365528,33.2,39.01946200683847,8.649999999999999,8.893000471257915,19.6,18.901090783572098
Tabasco,50.1,51.44215647594547,44.8,41.89274320321233,17.9,18.348645279267934,58.3,55.47847326033666,28.1,25.70843904854801,38.9,35.98086675343173
Tamaulipas,37.5,34.16367278291787,27.9,30.280669559197527,16.1,15.937407916808647,39.4,38.32462456885413,6.449999999999999,6.4876168681518225,12.4,13.684696641742095
Tlaxcala,62.9,55.28291531311123,45.2,40.3515444542653,16.1,17.397964578729614,61.9,58.11144407114689,8.149999999999999,9.392640896580593,22.7,22.300123189149193
Veracruz,57.7,56.65259921004028,49.2,45.968181047787716,25.5,24.016049284049277,60.9,61.126740238662734,25.0,22.75776627660968,21.6,22.246700115268236
Yucatán,45.7,50.321747834377774,35.1,36.852300891511916,21.2,21.640110094450993,45.8,51.26797907083734,23.7,24.829980829998874,15.4,19.549859062459273
Zacatecas,53.0,49.56131393472335,36.7,41.261011390007,20.7,21.93241335432244,57.0,58.39082545725688,6.0,8.977685813722118,16.6,19.22738807552788
