state,dimension,count,percentage,total_posts
Guanajuato,INCOME,80,36.5296803652968,219
Guanajuato,ACCESS TO HEALTH SERVICES,6,2.73972602739726,219
Guanajuato,EDUCATIONAL_LAG,11,5.0228310502283104,219
Guanajuato,ACCESS TO SOCIAL SECURITY,35,15.981735159817351,219
Guanajuato,HOUSING,79,36.07305936073059,219
Guanajuato,ACCESS TO FOOD,1,0.45662100456621,219
Guanajuato,SOCIAL_COHESION,2,0.91324200913242,219
Guanajuato,OTHER,5,2.28310502283105,219
Michoacán,INCOME,82,25.86750788643533,317
Michoacán,ACCESS TO HEALTH SERVICES,38,11.987381703470032,317
Michoacán,EDUCATIONAL_LAG,15,4.73186119873817,317
Michoacán,ACCESS TO SOCIAL SECURITY,99,31.230283911671926,317
Michoacán,HOUSING,64,20.189274447949526,317
Michoacán,ACCESS TO FOOD,2,0.6309148264984227,317
Michoacán,SOCIAL_COHESION,8,2.5236593059936907,317
Michoacán,OTHER,9,2.8391167192429023,317
Sinaloa,INCOME,98,36.9811320754717,265
Sinaloa,ACCESS TO HEALTH SERVICES,13,4.905660377358491,265
Sinaloa,EDUCATIONAL_LAG,12,4.528301886792453,265
Sinaloa,ACCESS TO SOCIAL SECURITY,102,38.49056603773585,265
Sinaloa,HOUSING,30,11.320754716981133,265
Sinaloa,ACCESS TO FOOD,2,0.7547169811320755,265
Sinaloa,SOCIAL_COHESION,3,1.1320754716981132,265
Sinaloa,OTHER,5,1.8867924528301887,265
Chihuahua,INCOME,45,19.565217391304348,230
Chihuahua,ACCESS TO HEALTH SERVICES,9,3.91304347826087,230
Chihuahua,EDUCATIONAL_LAG,49,21.304347826086957,230
Chihuahua,ACCESS TO SOCIAL SECURITY,72,31.30434782608696,230
Chihuahua,HOUSING,35,15.217391304347828,230
Chihuahua,ACCESS TO FOOD,5,2.1739130434782608,230
Chihuahua,SOCIAL_COHESION,8,3.4782608695652173,230
Chihuahua,OTHER,7,3.0434782608695654,230
Guerrero,INCOME,84,24.489795918367346,343
Guerrero,ACCESS TO HEALTH SERVICES,23,6.705539358600583,343
Guerrero,EDUCATIONAL_LAG,22,6.41399416909621,343
Guerrero,ACCESS TO SOCIAL SECURITY,126,36.734693877551024,343
Guerrero,HOUSING,72,20.99125364431487,343
Guerrero,ACCESS TO FOOD,1,0.2915451895043732,343
Guerrero,SOCIAL_COHESION,7,2.0408163265306123,343
Guerrero,OTHER,8,2.3323615160349855,343
Tamaulipas,INCOME,85,25.914634146341463,328
Tamaulipas,ACCESS TO HEALTH SERVICES,16,4.878048780487805,328
Tamaulipas,EDUCATIONAL_LAG,14,4.2682926829268295,328
Tamaulipas,ACCESS TO SOCIAL SECURITY,127,38.71951219512195,328
Tamaulipas,HOUSING,65,19.817073170731707,328
Tamaulipas,ACCESS TO FOOD,7,2.1341463414634148,328
Tamaulipas,SOCIAL_COHESION,4,1.2195121951219512,328
Tamaulipas,OTHER,10,3.048780487804878,328
Baja California,INCOME,15,20.833333333333336,72
Baja California,ACCESS TO HEALTH SERVICES,9,12.5,72
Baja California,EDUCATIONAL_LAG,3,4.166666666666666,72
Baja California,ACCESS TO SOCIAL SECURITY,19,26.38888888888889,72
Baja California,HOUSING,21,29.166666666666668,72
Baja California,ACCESS TO FOOD,0,0.0,72
Baja California,SOCIAL_COHESION,0,0.0,72
Baja California,OTHER,5,6.944444444444445,72
Zacatecas,INCOME,79,26.421404682274247,299
Zacatecas,ACCESS TO HEALTH SERVICES,6,2.0066889632107023,299
Zacatecas,EDUCATIONAL_LAG,34,11.37123745819398,299
Zacatecas,ACCESS TO SOCIAL SECURITY,77,25.75250836120401,299
Zacatecas,HOUSING,97,32.441471571906355,299
Zacatecas,ACCESS TO FOOD,0,0.0,299
Zacatecas,SOCIAL_COHESION,1,0.33444816053511706,299
Zacatecas,OTHER,5,1.6722408026755853,299
Colima,INCOME,47,32.86713286713287,143
Colima,ACCESS TO HEALTH SERVICES,32,22.377622377622377,143
