state,dimension,count,percentage,total_posts
Guanajuato,INCOME,77,35.15981735159817,219
Guanajuato,ACCESS TO HEALTH SERVICES,11,5.0228310502283104,219
Guanajuato,EDUCATIONAL_LAG,15,6.8493150684931505,219
Guanajuato,ACCESS TO SOCIAL SECURITY,33,15.068493150684931,219
Guanajuato,HOUSING,73,33.33333333333333,219
Guanajuato,ACCESS TO FOOD,2,0.91324200913242,219
Guanajuato,SOCIAL_COHESION,2,0.91324200913242,219
Guanajuato,OTHER,6,2.73972602739726,219
Michoacán,INCOME,75,23.65930599369085,317
Michoacán,ACCESS TO HEALTH SERVICES,31,9.779179810725552,317
Michoacán,EDUCATIONAL_LAG,19,5.993690851735016,317
Michoacán,ACCESS TO SOCIAL SECURITY,97,30.5993690851735,317
Michoacán,HOUSING,68,21.451104100946374,317
Michoacán,ACCESS TO FOOD,7,2.2082018927444795,317
Michoacán,SOCIAL_COHESION,9,2.8391167192429023,317
Michoacán,OTHER,11,3.4700315457413247,317
Sinaloa,INCOME,93,35.094339622641506,265
Sinaloa,ACCESS TO HEALTH SERVICES,23,8.679245283018867,265
Sinaloa,EDUCATIONAL_LAG,12,4.528301886792453,265
Sinaloa,ACCESS TO SOCIAL SECURITY,99,37.35849056603773,265
Sinaloa,HOUSING,26,9.811320754716983,265
Sinaloa,ACCESS TO FOOD,3,1.1320754716981132,265
Sinaloa,SOCIAL_COHESION,3,1.1320754716981132,265
Sinaloa,OTHER,6,2.2641509433962264,265
Chihuahua,INCOME,44,19.130434782608695,230
Chihuahua,ACCESS TO HEALTH SERVICES,11,4.782608695652174,230
Chihuahua,EDUCATIONAL_LAG,39,16.956521739130434,230
Chihuahua,ACCESS TO SOCIAL SECURITY,69,30.0,230
Chihuahua,HOUSING,35,15.217391304347828,230
Chihuahua,ACCESS TO FOOD,15,6.521739130434782,230
Chihuahua,SOCIAL_COHESION,8,3.4782608695652173,230
Chihuahua,OTHER,9,3.91304347826087,230
Guerrero,INCOME,80,23.323615160349853,343
Guerrero,ACCESS TO HEALTH SERVICES,17,4.956268221574344,343
Guerrero,EDUCATIONAL_LAG,22,6.41399416909621,343
Guerrero,ACCESS TO SOCIAL SECURITY,124,36.15160349854227,343
Guerrero,HOUSING,68,19.825072886297377,343
Guerrero,ACCESS TO FOOD,16,4.664723032069971,343
Guerrero,SOCIAL_COHESION,7,2.0408163265306123,343
Guerrero,OTHER,9,2.623906705539359,343
Tamaulipas,INCOME,76,23.170731707317074,328
Tamaulipas,ACCESS TO HEALTH SERVICES,17,5.182926829268292,328
Tamaulipas,EDUCATIONAL_LAG,16,4.878048780487805,328
Tamaulipas,ACCESS TO SOCIAL SECURITY,123,37.5,328
Tamaulipas,HOUSING,67,20.426829268292682,328
Tamaulipas,ACCESS TO FOOD,14,4.2682926829268295,328
Tamaulipas,SOCIAL_COHESION,3,0.9146341463414633,328
Tamaulipas,OTHER,12,3.6585365853658534,328
Baja California,INCOME,14,19.444444444444446,72
Baja California,ACCESS TO HEALTH SERVICES,8,11.11111111111111,72
Baja California,EDUCATIONAL_LAG,4,5.555555555555555,72
Baja California,ACCESS TO SOCIAL SECURITY,19,26.38888888888889,72
Baja California,HOUSING,19,26.38888888888889,72
Baja California,ACCESS TO FOOD,3,4.166666666666666,72
Baja California,SOCIAL_COHESION,0,0.0,72
Baja California,OTHER,5,6.944444444444445,72
Zacatecas,INCOME,70,23.411371237458194,299
Zacatecas,ACCESS TO HEALTH SERVICES,15,5.016722408026756,299
Zacatecas,EDUCATIONAL_LAG,37,12.37458193979933,299
Zacatecas,ACCESS TO SOCIAL SECURITY,75,25.08361204013378,299
Zacatecas,HOUSING,91,30.434782608695656,299
Zacatecas,ACCESS TO FOOD,4,1.3377926421404682,299
Zacatecas,SOCIAL_COHESION,1,0.33444816053511706,299
Zacatecas,OTHER,6,2.0066889632107023,299
Colima,INCOME,45,31.46853146853147,143
Colima,ACCESS TO HEALTH SERVICES,29,20.27972027972028,143
Colima,EDUCATIONAL_LAG,8,5.594405594405594,143
Colima,ACCESS TO SOCIAL SECURITY,26,18.181818181818183,143
Colima,HOUSING,19,13.286713286713287,143
Colima,ACCESS TO FOOD,4,2.797202797202797,143
Colima,SOCIAL_COHESION,4,2.797202797202797,143
Colima,OTHER,8,5.594405594405594,143
Jalisco,INCOME,100,31.545741324921135,317
Jalisco,ACCESS TO HEALTH SERVICES,31,9.779179810725552,317
Jalisco,EDUCATIONAL_LAG,23,7.255520504731862,317
Jalisco,ACCESS TO SOCIAL SECURITY,83,26.18296529968454,317
Jalisco,HOUSING,59,18.61198738170347,317
Jalisco,ACCESS TO FOOD,2,0.6309148264984227,317
Jalisco,SOCIAL_COHESION,6,1.8927444794952681,317
Jalisco,OTHER,13,4.100946372239748,317
Aguascalientes,INCOME,49,29.6969696969697,165
Aguascalientes,ACCESS TO HEALTH SERVICES,6,3.6363636363636362,165
Aguascalientes,EDUCATIONAL_LAG,6,3.6363636363636362,165
Aguascalientes,ACCESS TO SOCIAL SECURITY,51,30.909090909090907,165
Aguascalientes,HOUSING,46,27.878787878787882,165
Aguascalientes,ACCESS TO FOOD,2,1.2121212121212122,165
Aguascalientes,SOCIAL_COHESION,2,1.2121212121212122,165
Aguascalientes,OTHER,3,1.8181818181818181,165
Baja California Sur,INCOME,3,23.076923076923077,13
Baja California Sur,ACCESS TO HEALTH SERVICES,2,15.384615384615385,13
Baja California Sur,EDUCATIONAL_LAG,1,7.6923076923076925,13
Baja California Sur,ACCESS TO SOCIAL SECURITY,4,30.76923076923077,13
Baja California Sur,HOUSING,0,0.0,13
Baja California Sur,ACCESS TO FOOD,1,7.6923076923076925,13
Baja California Sur,SOCIAL_COHESION,0,0.0,13
Baja California Sur,OTHER,2,15.384615384615385,13
Campeche,INCOME,24,29.629629629629626,81
Campeche,ACCESS TO HEALTH SERVICES,3,3.7037037037037033,81
Campeche,EDUCATIONAL_LAG,6,7.4074074074074066,81
Campeche,ACCESS TO SOCIAL SECURITY,23,28.39506172839506,81
Campeche,HOUSING,22,27.160493827160494,81
Campeche,ACCESS TO FOOD,1,1.2345679012345678,81
Campeche,SOCIAL_COHESION,0,0.0,81
Campeche,OTHER,2,2.4691358024691357,81
Coahuila,INCOME,73,18.434343434343432,396
Coahuila,ACCESS TO HEALTH SERVICES,13,3.2828282828282833,396
Coahuila,EDUCATIONAL_LAG,8,2.0202020202020203,396
Coahuila,ACCESS TO SOCIAL SECURITY,170,42.92929292929293,396
Coahuila,HOUSING,86,21.71717171717172,396
Coahuila,ACCESS TO FOOD,6,1.5151515151515151,396
Coahuila,SOCIAL_COHESION,15,3.787878787878788,396
Coahuila,OTHER,25,6.313131313131313,396
Durango,INCOME,59,32.065217391304344,184
Durango,ACCESS TO HEALTH SERVICES,24,13.043478260869565,184
Durango,EDUCATIONAL_LAG,12,6.521739130434782,184
Durango,ACCESS TO SOCIAL SECURITY,63,34.23913043478261,184
Durango,HOUSING,19,10.326086956521738,184
