state,dimension,count,percentage,total_posts
Distrito Federal,FOOD_ACCESS,0,0.0,1
Distrito Federal,OTHER,1,100.0,1
Guerrero,FOOD_ACCESS,7,31.818181818181817,22
Guerrero,OTHER,15,68.18181818181817,22
México,FOOD_ACCESS,115,20.87114337568058,551
México,OTHER,436,79.12885662431943,551
Morelos,FOOD_ACCESS,3,15.0,20
Morelos,OTHER,17,85.0,20
Sinaloa,FOOD_ACCESS,4,33.33333333333333,12
Sinaloa,OTHER,8,66.66666666666666,12
Baja California,FOOD_ACCESS,1,11.11111111111111,9
Baja California,OTHER,8,88.88888888888889,9
Sonora,FOOD_ACCESS,6,31.57894736842105,19
Sonora,OTHER,13,68.42105263157895,19
Baja California Sur,FOOD_ACCESS,0,0.0,3
Baja California Sur,OTHER,3,100.0,3
Zacatecas,FOOD_ACCESS,2,16.666666666666664,12
Zacatecas,OTHER,10,83.33333333333334,12
Durango,FOOD_ACCESS,0,0.0,6
Durango,OTHER,6,100.0,6
Chihuahua,FOOD_ACCESS,2,15.384615384615385,13
Chihuahua,OTHER,11,84.61538461538461,13
Colima,FOOD_ACCESS,0,0.0,6
Colima,OTHER,6,100.0,6
Nayarit,FOOD_ACCESS,1,20.0,5
Nayarit,OTHER,4,80.0,5
Michoacán de Ocampo,FOOD_ACCESS,0,0.0,0
Michoacán de Ocampo,OTHER,0,0.0,0
Jalisco,FOOD_ACCESS,10,22.22222222222222,45
Jalisco,OTHER,35,77.77777777777779,45
Chiapas,FOOD_ACCESS,5,17.24137931034483,29
Chiapas,OTHER,24,82.75862068965517,29
Tabasco,FOOD_ACCESS,6,17.647058823529413,34
Tabasco,OTHER,28,82.35294117647058,34
Oaxaca,FOOD_ACCESS,7,15.217391304347828,46
Oaxaca,OTHER,39,84.78260869565217,46
Guanajuato,FOOD_ACCESS,4,12.903225806451612,31
Guanajuato,OTHER,27,87.09677419354838,31
Aguascalientes,FOOD_ACCESS,0,0.0,6
Aguascalientes,OTHER,6,100.0,6
Querétaro,FOOD_ACCESS,4,17.391304347826086,23
Querétaro,OTHER,19,82.6086956521739,23
San Luis Potosí,FOOD_ACCESS,0,0.0,0
San Luis Potosí,OTHER,0,0.0,0
Tlaxcala,FOOD_ACCESS,1,14.285714285714285,7
Tlaxcala,OTHER,6,85.71428571428571,7
Puebla,FOOD_ACCESS,3,12.0,25
Puebla,OTHER,22,88.0,25
Hidalgo,FOOD_ACCESS,5,14.705882352941178,34
Hidalgo,OTHER,29,85.29411764705883,34
Veracruz de Ignacio de la Llave,FOOD_ACCESS,0,0.0,0
Veracruz de Ignacio de la Llave,OTHER,0,0.0,0
Nuevo León,FOOD_ACCESS,2,12.5,16
Nuevo León,OTHER,14,87.5,16
Coahuila de Zaragoza,FOOD_ACCESS,0,0.0,0
Coahuila de Zaragoza,OTHER,0,0.0,0
Tamaulipas,FOOD_ACCESS,2,10.0,20
Tamaulipas,OTHER,18,90.0,20
Yucatán,FOOD_ACCESS,4,30.76923076923077,13
Yucatán,OTHER,9,69.23076923076923,13
Campeche,FOOD_ACCESS,1,16.666666666666664,6
Campeche,OTHER,5,83.33333333333334,6
Quintana Roo,FOOD_ACCESS,1,16.666666666666664,6
Quintana Roo,OTHER,5,83.33333333333334,6
