state,dimension,count,percentage,total_posts
Guanajuato,INCOME,79,28.93772893772894,273
Guanajuato,ACCESS TO HEALTH SERVICES,61,22.344322344322347,273
Guanajuato,EDUCATIONAL_LAG,23,8.424908424908425,273
Guanajuato,ACCESS TO SOCIAL SECURITY,64,23.44322344322344,273
Guanajuato,HOUSING,14,5.128205128205128,273
Guanajuato,ACCESS TO FOOD,9,3.296703296703297,273
Guanajuato,SOCIAL_COHESION,4,1.465201465201465,273
Guanajuato,OTHER,19,6.95970695970696,273
Michoacán,INCOME,153,37.77777777777778,405
Michoacán,ACCESS TO HEALTH SERVICES,80,19.753086419753085,405
Michoacán,EDUCATIONAL_LAG,20,4.938271604938271,405
Michoacán,ACCESS TO SOCIAL SECURITY,62,15.308641975308642,405
Michoacán,HOUSING,26,6.419753086419753,405
Michoacán,ACCESS TO FOOD,28,6.91358024691358,405
Michoacán,SOCIAL_COHESION,13,3.2098765432098766,405
Michoacán,OTHER,23,5.679012345679013,405
Sinaloa,INCOME,52,19.402985074626866,268
Sinaloa,ACCESS TO HEALTH SERVICES,53,19.776119402985074,268
Sinaloa,EDUCATIONAL_LAG,16,5.970149253731343,268
Sinaloa,ACCESS TO SOCIAL SECURITY,95,35.44776119402985,268
Sinaloa,HOUSING,8,2.9850746268656714,268
Sinaloa,ACCESS TO FOOD,20,7.462686567164178,268
Sinaloa,SOCIAL_COHESION,5,1.8656716417910446,268
Sinaloa,OTHER,19,7.08955223880597,268
Chihuahua,INCOME,28,11.914893617021278,235
Chihuahua,ACCESS TO HEALTH SERVICES,48,20.425531914893615,235
Chihuahua,EDUCATIONAL_LAG,37,15.74468085106383,235
Chihuahua,ACCESS TO SOCIAL SECURITY,46,19.574468085106382,235
Chihuahua,HOUSING,23,9.787234042553191,235
Chihuahua,ACCESS TO FOOD,13,5.531914893617021,235
Chihuahua,SOCIAL_COHESION,6,2.553191489361702,235
Chihuahua,OTHER,34,14.468085106382977,235
Guerrero,INCOME,135,31.76470588235294,425
Guerrero,ACCESS TO HEALTH SERVICES,56,13.176470588235295,425
Guerrero,EDUCATIONAL_LAG,22,5.176470588235294,425
Guerrero,ACCESS TO SOCIAL SECURITY,140,32.94117647058823,425
Guerrero,HOUSING,26,6.11764705882353,425
Guerrero,ACCESS TO FOOD,20,4.705882352941177,425
Guerrero,SOCIAL_COHESION,8,1.8823529411764703,425
Guerrero,OTHER,18,4.235294117647059,425
Tamaulipas,INCOME,94,27.011494252873565,348
Tamaulipas,ACCESS TO HEALTH SERVICES,50,14.367816091954023,348
Tamaulipas,EDUCATIONAL_LAG,5,1.4367816091954022,348
Tamaulipas,ACCESS TO SOCIAL SECURITY,111,31.896551724137932,348
Tamaulipas,HOUSING,20,5.747126436781609,348
Tamaulipas,ACCESS TO FOOD,14,4.022988505747127,348
Tamaulipas,SOCIAL_COHESION,14,4.022988505747127,348
Tamaulipas,OTHER,40,11.494252873563218,348
Baja California,INCOME,29,26.605504587155966,109
Baja California,ACCESS TO HEALTH SERVICES,22,20.18348623853211,109
Baja California,EDUCATIONAL_LAG,4,3.669724770642202,109
Baja California,ACCESS TO SOCIAL SECURITY,21,19.26605504587156,109
Baja California,HOUSING,5,4.587155963302752,109
Baja California,ACCESS TO FOOD,4,3.669724770642202,109
Baja California,SOCIAL_COHESION,3,2.7522935779816518,109
Baja California,OTHER,21,19.26605504587156,109
Zacatecas,INCOME,105,32.71028037383177,321
Zacatecas,ACCESS TO HEALTH SERVICES,56,17.445482866043612,321
Zacatecas,EDUCATIONAL_LAG,33,10.2803738317757,321
