state,dimension,count,percentage,total_posts
Guanajuato,INCOME,49,22.37442922374429,219
Guanajuato,ACCESS TO HEALTH SERVICES,46,21.00456621004566,219
Guanajuato,EDUCATIONAL_LAG,14,6.392694063926941,219
Guanajuato,ACCESS TO SOCIAL SECURITY,29,13.24200913242009,219
Guanajuato,HOUSING,31,14.15525114155251,219
Guanajuato,ACCESS TO FOOD,7,3.1963470319634704,219
Guanajuato,SOCIAL_COHESION,13,5.93607305936073,219
Guanajuato,OTHER,30,13.698630136986301,219
Michoacán,INCOME,69,21.766561514195583,317
Michoacán,ACCESS TO HEALTH SERVICES,66,20.82018927444795,317
Michoacán,EDUCATIONAL_LAG,17,5.3627760252365935,317
Michoacán,ACCESS TO SOCIAL SECURITY,38,11.987381703470032,317
Michoacán,HOUSING,51,16.08832807570978,317
Michoacán,ACCESS TO FOOD,13,4.100946372239748,317
Michoacán,SOCIAL_COHESION,34,10.725552050473187,317
Michoacán,OTHER,29,9.14826498422713,317
Sinaloa,INCOME,57,21.50943396226415,265
Sinaloa,ACCESS TO HEALTH SERVICES,62,23.39622641509434,265
Sinaloa,EDUCATIONAL_LAG,11,4.150943396226415,265
Sinaloa,ACCESS TO SOCIAL SECURITY,57,21.50943396226415,265
Sinaloa,HOUSING,21,7.9245283018867925,265
Sinaloa,ACCESS TO FOOD,17,6.415094339622642,265
Sinaloa,SOCIAL_COHESION,13,4.905660377358491,265
Sinaloa,OTHER,27,10.18867924528302,265
Chihuahua,INCOME,17,7.391304347826087,230
Chihuahua,ACCESS TO HEALTH SERVICES,47,20.434782608695652,230
Chihuahua,EDUCATIONAL_LAG,30,13.043478260869565,230
Chihuahua,ACCESS TO SOCIAL SECURITY,39,16.956521739130434,230
Chihuahua,HOUSING,34,14.782608695652174,230
Chihuahua,ACCESS TO FOOD,13,5.6521739130434785,230
Chihuahua,SOCIAL_COHESION,18,7.82608695652174,230
Chihuahua,OTHER,32,13.91304347826087,230
Guerrero,INCOME,80,23.323615160349853,343
Guerrero,ACCESS TO HEALTH SERVICES,56,16.3265306122449,343
Guerrero,EDUCATIONAL_LAG,20,5.830903790087463,343
Guerrero,ACCESS TO SOCIAL SECURITY,57,16.61807580174927,343
Guerrero,HOUSING,49,14.285714285714285,343
Guerrero,ACCESS TO FOOD,9,2.623906705539359,343
Guerrero,SOCIAL_COHESION,44,12.82798833819242,343
Guerrero,OTHER,28,8.16326530612245,343
Tamaulipas,INCOME,68,20.73170731707317,328
Tamaulipas,ACCESS TO HEALTH SERVICES,57,17.378048780487802,328
Tamaulipas,EDUCATIONAL_LAG,9,2.7439024390243905,328
Tamaulipas,ACCESS TO SOCIAL SECURITY,55,16.76829268292683,328
Tamaulipas,HOUSING,28,8.536585365853659,328
Tamaulipas,ACCESS TO FOOD,14,4.2682926829268295,328
Tamaulipas,SOCIAL_COHESION,31,9.451219512195122,328
Tamaulipas,OTHER,66,20.121951219512198,328
Baja California,INCOME,20,27.77777777777778,72
Baja California,ACCESS TO HEALTH SERVICES,25,34.72222222222222,72
Baja California,EDUCATIONAL_LAG,1,1.3888888888888888,72
Baja California,ACCESS TO SOCIAL SECURITY,5,6.944444444444445,72
Baja California,HOUSING,10,13.88888888888889,72
Baja California,ACCESS TO FOOD,1,1.3888888888888888,72
Baja California,SOCIAL_COHESION,3,4.166666666666666,72
Baja California,OTHER,7,9.722222222222223,72
Zacatecas,INCOME,69,23.076923076923077,299
Zacatecas,ACCESS TO HEALTH SERVICES,60,20.066889632107024,299
Zacatecas,EDUCATIONAL_LAG,25,8.361204013377927,299
Zacatecas,ACCESS TO SOCIAL SECURITY,26,8.695652173913043,299
Zacatecas,HOUSING,65,21.73913043478261,299
Zacatecas,ACCESS TO FOOD,10,3.3444816053511706,299
Zacatecas,SOCIAL_COHESION,30,10.033444816053512,299
Zacatecas,OTHER,14,4.682274247491638,299
Colima,INCOME,31,21.678321678321677,143
Colima,ACCESS TO HEALTH SERVICES,51,35.66433566433567,143
Colima,EDUCATIONAL_LAG,9,6.293706293706294,143
Colima,ACCESS TO SOCIAL SECURITY,10,6.993006993006993,143
Colima,HOUSING,4,2.797202797202797,143
Colima,ACCESS TO FOOD,10,6.993006993006993,143
Colima,SOCIAL_COHESION,9,6.293706293706294,143
Colima,OTHER,19,13.286713286713287,143
Jalisco,INCOME,91,28.706624605678233,317
Jalisco,ACCESS TO HEALTH SERVICES,88,27.760252365930597,317
Jalisco,EDUCATIONAL_LAG,17,5.3627760252365935,317
Jalisco,ACCESS TO SOCIAL SECURITY,33,10.410094637223976,317
Jalisco,HOUSING,32,10.094637223974763,317
Jalisco,ACCESS TO FOOD,10,3.1545741324921135,317
Jalisco,SOCIAL_COHESION,28,8.832807570977918,317
Jalisco,OTHER,18,5.678233438485805,317
Aguascalientes,INCOME,29,17.575757575757574,165
Aguascalientes,ACCESS TO HEALTH SERVICES,29,17.575757575757574,165
Aguascalientes,EDUCATIONAL_LAG,5,3.0303030303030303,165
Aguascalientes,ACCESS TO SOCIAL SECURITY,30,18.181818181818183,165
Aguascalientes,HOUSING,21,12.727272727272727,165
Aguascalientes,ACCESS TO FOOD,12,7.2727272727272725,165
Aguascalientes,SOCIAL_COHESION,7,4.242424242424243,165
Aguascalientes,OTHER,32,19.393939393939394,165
Baja California Sur,INCOME,4,30.76923076923077,13
Baja California Sur,ACCESS TO HEALTH SERVICES,5,38.46153846153847,13
Baja California Sur,EDUCATIONAL_LAG,0,0.0,13
Baja California Sur,ACCESS TO SOCIAL SECURITY,1,7.6923076923076925,13
Baja California Sur,HOUSING,1,7.6923076923076925,13
Baja California Sur,ACCESS TO FOOD,1,7.6923076923076925,13
Baja California Sur,SOCIAL_COHESION,0,0.0,13
Baja California Sur,OTHER,1,7.6923076923076925,13
Campeche,INCOME,17,20.98765432098765,81
Campeche,ACCESS TO HEALTH SERVICES,16,19.753086419753085,81
Campeche,EDUCATIONAL_LAG,6,7.4074074074074066,81
Campeche,ACCESS TO SOCIAL SECURITY,24,29.629629629629626,81
Campeche,HOUSING,9,11.11111111111111,81
Campeche,ACCESS TO FOOD,0,0.0,81
Campeche,SOCIAL_COHESION,4,4.938271604938271,81
Campeche,OTHER,5,6.172839506172839,81
Coahuila,INCOME,82,20.707070707070706,396
Coahuila,ACCESS TO HEALTH SERVICES,43,10.85858585858586,396
Coahuila,EDUCATIONAL_LAG,7,1.7676767676767675,396
Coahuila,ACCESS TO SOCIAL SECURITY,118,29.797979797979796,396
Coahuila,HOUSING,23,5.808080808080808,396
Coahuila,ACCESS TO FOOD,8,2.0202020202020203,396
Coahuila,SOCIAL_COHESION,63,15.909090909090908,396
Coahuila,OTHER,52,13.131313131313133,396
Durango,INCOME,41,22.282608695652172,184
Durango,ACCESS TO HEALTH SERVICES,42,22.82608695652174,184
Durango,EDUCATIONAL_LAG,11,5.978260869565218,184
Durango,ACCESS TO SOCIAL SECURITY,36,19.565217391304348,184
Durango,HOUSING,14,7.608695652173914,184
Durango,ACCESS TO FOOD,1,0.5434782608695652,184
Durango,SOCIAL_COHESION,15,8.152173913043478,184
Durango,OTHER,24,13.043478260869565,184
Hidalgo,INCOME,51,26.02040816326531,196
Hidalgo,ACCESS TO HEALTH SERVICES,25,12.755102040816327,196
Hidalgo,EDUCATIONAL_LAG,7,3.571428571428571,196
Hidalgo,ACCESS TO SOCIAL SECURITY,48,24.489795918367346,196
Hidalgo,HOUSING,27,13.77551020408163,196
Hidalgo,ACCESS TO FOOD,1,0.5102040816326531,196
Hidalgo,SOCIAL_COHESION,17,8.673469387755102,196
Hidalgo,OTHER,20,10.204081632653061,196
Estado de México,INCOME,26,27.659574468085108,94
Estado de México,ACCESS TO HEALTH SERVICES,24,25.53191489361702,94
Estado de México,EDUCATIONAL_LAG,1,1.0638297872340425,94
Estado de México,ACCESS TO SOCIAL SECURITY,11,11.702127659574469,94
Estado de México,HOUSING,8,8.51063829787234,94
Estado de México,ACCESS TO FOOD,2,2.127659574468085,94
Estado de México,SOCIAL_COHESION,6,6.382978723404255,94
Estado de México,OTHER,16,17.02127659574468,94
Ciudad de México,INCOME,55,20.0,275
