state,dimension,count,percentage,total_posts
Guanajuato,INCOME,34,18.994413407821227,179
Guanajuato,ACCESS TO HEALTH SERVICES,49,27.37430167597765,179
Guanajuato,EDUCATIONAL_LAG,10,5.58659217877095,179
Guanajuato,ACCESS TO SOCIAL SECURITY,55,30.726256983240223,179
Guanajuato,HOUSING,10,5.58659217877095,179
Guanajuato,ACCESS TO FOOD,3,1.675977653631285,179
Guanajuato,SOCIAL_COHESION,0,0.0,179
Guanajuato,OTHER,18,10.05586592178771,179
Michoacán,INCOME,14,21.21212121212121,66
Michoacán,ACCESS TO HEALTH SERVICES,29,43.93939393939394,66
Michoacán,EDUCATIONAL_LAG,5,7.575757575757576,66
Michoacán,ACCESS TO SOCIAL SECURITY,14,21.21212121212121,66
Michoacán,HOUSING,0,0.0,66
Michoacán,ACCESS TO FOOD,0,0.0,66
Michoacán,SOCIAL_COHESION,0,0.0,66
Michoacán,OTHER,4,6.0606060606060606,66
Sinaloa,INCOME,11,16.417910447761194,67
Sinaloa,ACCESS TO HEALTH SERVICES,26,38.80597014925373,67
Sinaloa,EDUCATIONAL_LAG,1,1.4925373134328357,67
Sinaloa,ACCESS TO SOCIAL SECURITY,17,25.37313432835821,67
Sinaloa,HOUSING,1,1.4925373134328357,67
Sinaloa,ACCESS TO FOOD,2,2.9850746268656714,67
Sinaloa,SOCIAL_COHESION,3,4.477611940298507,67
Sinaloa,OTHER,6,8.955223880597014,67
Chihuahua,INCOME,13,12.264150943396226,106
Chihuahua,ACCESS TO HEALTH SERVICES,33,31.132075471698112,106
Chihuahua,EDUCATIONAL_LAG,6,5.660377358490567,106
Chihuahua,ACCESS TO SOCIAL SECURITY,28,26.41509433962264,106
Chihuahua,HOUSING,7,6.60377358490566,106
Chihuahua,ACCESS TO FOOD,8,7.547169811320755,106
Chihuahua,SOCIAL_COHESION,3,2.8301886792452833,106
Chihuahua,OTHER,8,7.547169811320755,106
Guerrero,INCOME,12,13.793103448275861,87
Guerrero,ACCESS TO HEALTH SERVICES,27,31.03448275862069,87
Guerrero,EDUCATIONAL_LAG,6,6.896551724137931,87
Guerrero,ACCESS TO SOCIAL SECURITY,28,32.18390804597701,87
Guerrero,HOUSING,7,8.045977011494253,87
Guerrero,ACCESS TO FOOD,1,1.1494252873563218,87
Guerrero,SOCIAL_COHESION,1,1.1494252873563218,87
Guerrero,OTHER,5,5.747126436781609,87
Tamaulipas,INCOME,8,11.594202898550725,69
Tamaulipas,ACCESS TO HEALTH SERVICES,31,44.927536231884055,69
Tamaulipas,EDUCATIONAL_LAG,4,5.797101449275362,69
Tamaulipas,ACCESS TO SOCIAL SECURITY,18,26.08695652173913,69
Tamaulipas,HOUSING,0,0.0,69
Tamaulipas,ACCESS TO FOOD,5,7.246376811594203,69
Tamaulipas,SOCIAL_COHESION,1,1.4492753623188406,69
Tamaulipas,OTHER,2,2.898550724637681,69
Baja California,INCOME,5,16.129032258064516,31
Baja California,ACCESS TO HEALTH SERVICES,12,38.70967741935484,31
Baja California,EDUCATIONAL_LAG,0,0.0,31
Baja California,ACCESS TO SOCIAL SECURITY,9,29.03225806451613,31
Baja California,HOUSING,0,0.0,31
Baja California,ACCESS TO FOOD,0,0.0,31
Baja California,SOCIAL_COHESION,0,0.0,31
Baja California,OTHER,5,16.129032258064516,31
Zacatecas,INCOME,10,21.27659574468085,47
Zacatecas,ACCESS TO HEALTH SERVICES,15,31.914893617021278,47
Zacatecas,EDUCATIONAL_LAG,5,10.638297872340425,47
Zacatecas,ACCESS TO SOCIAL SECURITY,12,25.53191489361702,47
Zacatecas,HOUSING,0,0.0,47
Zacatecas,ACCESS TO FOOD,2,4.25531914893617,47
Zacatecas,SOCIAL_COHESION,3,6.382978723404255,47
Zacatecas,OTHER,0,0.0,47
Colima,INCOME,9,19.565217391304348,46
Colima,ACCESS TO HEALTH SERVICES,16,34.78260869565217,46
Colima,EDUCATIONAL_LAG,0,0.0,46
Colima,ACCESS TO SOCIAL SECURITY,12,26.08695652173913,46
Colima,HOUSING,3,6.521739130434782,46
