,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
Aguascalientes,0.1355097910680826,0.03620150372891628,0.3142904722779329,0.29992373731281413,0.08626015657633852,0.1238956496447139
Baja California,0.017872893431780452,0.09515753389789053,0.23399332051751737,0.056853834495996125,0.10652743202205407,0.48530314458752755
Baja California Sur,0.1493903550916175,0.1178783666086074,0.015706325820006122,0.24044137860561776,0.22630241592196654,0.24624224914241763
Campeche,0.14288833276406537,0.22827899666593932,0.1443978843468476,0.060417640669559076,0.03423703802083203,0.3861753706706733
Chiapas,0.12506367368456658,0.09926213439559783,0.3057884454795407,0.24602706279294945,0.1770083229605541,0.043787959205249465
Chihuahua,0.08632825357838253,0.08768562053281162,0.04408006833365736,0.0853131886858859,0.265568629007183,0.4280390392403587
Coahuila,0.3269778407774702,0.14503818023868048,0.15857214549635462,0.09080408239808059,0.23878656288998892,0.036790918409524385
Colima,0.11041419842509159,0.03222164531322084,0.10627016402096853,0.4507328019799073,0.1917371322916292,0.10489295571923825
Durango,0.13589270462834974,0.1707476682291599,0.1057919036000385,0.12534721812771749,0.31231579273808163,0.1466870726129855
Guanajuato,0.12669152158955127,0.23805948784200118,0.04383965000168777,0.08067079487391338,0.299449726256324,0.20826451931129336
Guerrero,0.20852735875945422,0.468264928043802,0.08157854840334577,0.06403395036308956,0.12872235872645924,0.046015959395694694
Hidalgo,0.04151991767358775,0.460124954020055,0.022001739983337217,0.11366048229889185,0.28335658684433207,0.0756339892542999
Jalisco,0.0783089849464002,0.046935137224673275,0.09336501648782285,0.2239309826823637,0.27775504272228163,0.2766124318929175
Mexico,0.02493963646620196,0.19482874696266927,0.09359856586776086,0.12193150760757313,0.29269345338896213,0.26825388943780876
Michoacan,0.29843972578452416,0.14574466073662853,0.10528989208953293,0.33050670607177457,0.08826935560513369,0.028333036436031207
Morelos,0.062029508233536035,0.06613714322503213,0.31264138522849877,0.25957351119907957,0.19973502571727814,0.09711232393636324
Nayarit,0.02578776264644963,0.10654678017849434,0.3741910048892033,0.20937350619486209,0.14379458231383196,0.13712185053697418
Nuevo Leon,0.3873146253907097,0.06086772296598939,0.04204114360194205,0.10361550643235086,0.32168729637285604,0.08132520530264263
Oaxaca,0.1602926425576142,0.25211548801897976,0.0805545601095865,0.15848010007866029,0.09431341697385891,0.2511377754883342
Puebla,0.16385198536470802,0.1878734068693127,0.1259753425517323,0.08243586309055805,0.2066343784723054,0.2309735749408809
Queretaro,0.04487492101558838,0.15700899609397362,0.2711589601805801,0.27557949918653474,0.15206656720600759,0.09597615407235448
Quintana Roo,0.09562062482280875,0.0956111925783765,0.03348144475748753,0.3922596330766339,0.2061364147032152,0.17390066073691918
San Luis Potosi,0.09401496757160534,0.19927909085244844,0.0918220214771502,0.12639048424634067,0.20590400921575952,0.28026126213371755
Sinaloa,0.08468868457376622,0.12978595883694585,0.2382850021748963,0.1818555274974085,0.18617734153385837,0.17666600636198176
Sonora,0.2035478881001069,0.1197116165348789,0.175403856872528,0.0692044714597847,0.36104335829173884,0.06777605423113835
Tabasco,0.09961375215887656,0.2570425406579048,0.04595778244239966,0.1826810667859233,0.11988281614623518,0.2920469351623568
Tamaulipas,0.21748976192423417,0.11097101142342367,0.15198503520942347,0.31824211780296857,0.03003524836659541,0.16849325324326533
Tlaxcala,0.06316491649117176,0.3953717455304583,0.013457327757154728,0.24881437803940404,0.12299217857888507,0.1513985605522697
Veracruz,0.10759572230745107,0.149038198461353,0.34669090732810465,0.19801415913953765,0.16603141692432283,0.029639605837596106
Yucatan,0.15715655857856675,0.17628556178158036,0.1547826867938903,0.17718230555424133,0.1732307796984511,0.1605818370055365
Zacatecas,0.030401916351819682,0.13106394397444754,0.5273658692893313,0.0957107652001705,0.11089373642200537,0.10114565111283191
Ciudad de México,0.09696080726449441,0.04048307993641327,0.6544589035928633,0.036016890248314226,0.07066246339100156,0.09677859534145182
